unique_id,text,model,input_tokens,output_tokens,gpt_pred_sup,flp_sup
16152014-106017494-110310468,"Chapter 7 Trustee's Report of No Distribution & 341 Meeting Held on 10/07/2019: I, James D. Lyon, having been appointed trustee of the estate of the above-named debtor(s), report that I have neither received any property nor paid any money on account of this estate; that I have made a diligent inquiry into the financial affairs of the debtor(s) and the location of the property belonging to the estate; and that there is no property available for distribution from the estate over and above that exempted by law. Pursuant to Fed R Bank P 5009, I hereby certify that the estate of the above-named debtor(s) has been fully administered. I request that I be discharged from any further duties as trustee. Debtor appeared. Key information about this case as reported in schedules filed by the debtor(s) or otherwise found in the case record: This case was pending for 1 months. Assets Abandoned (without deducting any secured claims): $ 123400.00, Assets Exempt: $ 14670.00, Claims Scheduled: $ 164577.00, Claims Asserted: Not Applicable, Claims scheduled to be discharged without payment (without deducting the value of collateral or debts excepted from discharge): $ 164577.00. (Lyon, James) (Entered: 10/10/2019)",gpt-4o-mini-2024-07-18,589,2,Report,Report
16152014-104874079-109155849,"Personal Financial Management Course Certificate For Debtor (Wunsch, Ben) (Entered: 10/06/2019)",gpt-4o-mini-2024-07-18,332,2,Other,Other
16152014-101647924-105904353,"Notice of Appearance and Request for Notice by Amy E. Gardner Filed by on behalf of Nationstar Mortgage LLC d/b/a Mr. Cooper. (Gardner, Amy) (Entered: 09/10/2019)",gpt-4o-mini-2024-07-18,352,2,Notice,Notice
16152014-101434506-105689526,BNC Certificate of Mailing Notice Date 09/07/2019. (Related Doc # 4) (Admin.) (Entered: 09/08/2019),gpt-4o-mini-2024-07-18,343,2,Notice,Other
16152014-101434507-105689527,BNC Certificate of Mailing - Meeting of Creditors Notice Date 09/07/2019. (Related Doc # 3) (Admin.) (Entered: 09/08/2019),gpt-4o-mini-2024-07-18,348,2,Other,Other
16152014-101171444-105424495,"Creditor Request for Notices, filed on behalf of PRA Receivables Management, LLC. (Smith, Valerie) (Entered: 09/05/2019)",gpt-4o-mini-2024-07-18,341,4,Request / Motion,Request / Motion
16152014-101098501-105350945,Chapter 7 Order to Debtor to Turn Over/Produce Documents. (ADI) (Entered: 09/05/2019),gpt-4o-mini-2024-07-18,335,2,Order,Order
16152014-102327762-106588521,"Receipt of filing fee for Voluntary Petition (Chapter 7)(19-10303) [misc,volp7a] ( 335.00). Receipt number 10023221, amount $ 335.00. (re: Doc #1) (U.S. Treasury)",gpt-4o-mini-2024-07-18,366,2,Other,Other
16152014-102327761-106588520,"Statement of Social Security Number, filed by Craig R. Patton. (Tatterson, Jeffrey) (Entered: 09/04/2019)",gpt-4o-mini-2024-07-18,338,2,Other,Other
16152014-101001765-105253451,"Chapter 7 Voluntary Petition. Fee Amount $335 Filed by Craig R. Patton. (Tatterson, Jeffrey) (Entered: 09/04/2019)",gpt-4o-mini-2024-07-18,343,2,Other,Other
