unique_id,text
66759071-400962733-410207044,Order AND ~Util - Terminate Civil Case
66759071-400873530-410116604,Stipulation of Dismissal
66759071-400255673-409484496,Order AND ~Util - Set Hearings
66759071-390150565-399087857,Order AND ~Util - Terminate Hearings
66759071-382121924-389933428,Notice
66759071-380275657-388041514,Order on Motion to Continue
66759071-379599026-387322718,Continue
66759071-375037908-382634462,Pretrial Disclosures
66759071-366966226-374112091,Set/Reset Hearings
66759071-360321473-366927522,Consent to Trial by US Magistrate Judge
66759071-360288949-366894552,Non-Consent to Trial by US Magistrate Judge
66759071-360123699-366726163,Order on Motion for Entry of Scheduling Order
66759071-347321906-353737473,Scheduling Order
66759071-347115216-353525488,Scheduling Order
66759071-347011526-353419168,Entry of Scheduling Order
66759071-345871049-352217790,Order Reassigning Case
66759071-342011754-348338983,Scheduling Recommendations/Proposed Scheduling Order
66759071-331443510-337712672,Order for Scheduling Recommendations/Proposed Sched Order
66759071-327570961-333833527,Order Reassigning Case
66759071-224418224-230550727,Answer to Complaint
66759071-224418221-230550724,Answer to Complaint
66759071-219829527-225924301,Summons Returned Executed
66759071-219829520-225924294,Summons Returned Executed
66759071-219339555-225407468,Notice of Correction
66759071-219328860-225396170,Order for More Definite Statement
66759071-218091155-224135300,Summons Issued
66759071-218081216-224125275,Request for Issuance of Summons
66759071-217751189-223790421,Case Assigned/Reassigned
66759071-217751185-223790417,To be Referred to AU Mag Judge
66759071-217537329-223572785,Complaint
66759071-217536985-223572441,Disclosure Statement (Rule 7)
14063742-102359386-106620348,Supervised Release Hearing
14063742-101518393-105773837,Return
14063742-101313256-105567113,Return
14063742-101205651-105458870,Notice of Attorney Appearance - Defendant
14063742-99363180-103602011,Probation Form 12A
14063742-56996570-61073375,Probation Form 12A
39607917-280024994-286233733,BNC Certificate of Mailing - Final Decree
39607917-279590997-285799037,Final Decree - Chapter 7 No Asset
39607917-279590986-285799026,Close Bankruptcy Case
39607917-279326680-285534549,BNC Certificate of Mailing - Order of Discharge
39607917-279053481-285261279,Discharging Debtor - Chapter 7 Post New Law
39607917-276039074-282246187,Meeting of Creditors Held Chapter 7
39607917-275974190-282181273,Chapter 7 Trustee's Report of No Distribution - No Funds
39607917-274860915-281067823,Certificate of Financial Management Course
39607917-274826454-281033353,Personal Financial Management Course Certificate
39607917-274246987-280452796,Certificate of Service
39607917-274231034-280436823,Amended Statement of Social Security Number(s) (Form 21)
39607917-273996037-280201458,BNC Certificate of Mailing
39607917-273692695-279897875,Notice of Requirement for Financial Management Course
39607917-273670383-279875553,Meeting of Creditors Continued - Chapter 7
39607917-269587483-275788867,Statement of No Presumption of Abuse (batch)
39607917-269556777-275758121,Meeting of Creditors Chapter 7 (No Asset)
39607917-269514415-275715728,Certificate of Credit Counseling
39607917-269502721-275704032,Voluntary Petition (Chapter 7)
39607917-269502720-275704031,Statement of Social Security Number(s) (Form 21)
39607917-269502719-275704030,none
16856361-417268470-431027212,BNC Certificate of Mailing - Order of Discharge
16856361-416892753-430638509,Discharging Debtor-Auto Discharge 13
16856361-416006579-429723813,BNC Certificate of Mailing - Notice for Objections
16856361-415487559-429190260,Notice of Deficiency-Corrective Action Required
16856361-415487519-429190218,Certification of Plan Completion and Request for Discharge - Chapter 13
16856361-415416694-429116528,Certification of Plan Completion and Request for Discharge - Chapter 13
