cluster_id,split,court_group,has_positive,gold_grouping,verified,n_final_pairs,n_positive_pairs
513272,dev,FED,1,1,1,12,1
529973,dev,FED,0,1,1,6,0
655291,dev,FED,0,1,1,11,0
725046,dev,FED,0,1,1,32,0
2396683,dev,FED,0,0,0,10,0
9600200,unused,FED,0,0,0,23,0
9606979,dev,FED,0,0,0,37,0
9607110,dev,FED,1,0,0,16,1
9621752,dev,FED,0,0,0,14,0
10338795,dev,FED,0,0,0,24,0
10363311,dev,FED,0,0,0,26,0
2146,dev,SCOTUS,1,1,1,9,1
99731,dev,SCOTUS,0,1,1,8,0
101625,dev,SCOTUS,1,1,1,17,4
102002,dev,SCOTUS,1,1,1,13,2
102198,dev,SCOTUS,1,1,1,8,1
102370,dev,SCOTUS,1,1,1,5,1
103206,dev,SCOTUS,0,1,1,5,0
103247,dev,SCOTUS,1,1,1,11,1
103286,dev,SCOTUS,1,1,1,9,1
105846,dev,SCOTUS,0,1,1,1,0
109323,dev,SCOTUS,1,1,1,5,1
110274,dev,SCOTUS,1,1,1,34,3
110360,dev,SCOTUS,1,1,1,61,5
117849,dev,SCOTUS,1,1,1,23,7
118267,dev,SCOTUS,1,1,1,19,6
118395,dev,SCOTUS,1,1,1,61,3
127912,dev,SCOTUS,1,1,1,19,3
145643,dev,SCOTUS,1,1,1,32,7
145739,dev,SCOTUS,1,1,1,51,12
809122,dev,SCOTUS,1,1,1,128,8
2620698,dev,SCOTUS,1,1,1,19,1
2621076,dev,SCOTUS,1,1,1,25,2
2771249,dev,SCOTUS,1,1,1,20,4
2803251,dev,SCOTUS,1,1,1,17,1
1136388,dev,STATE,0,1,1,5,0
1689507,dev,STATE,0,1,1,0,0
1727607,dev,STATE,1,1,1,5,1
1852273,dev,STATE,0,0,0,0,0
1873909,dev,STATE,0,0,0,7,0
2369968,dev,STATE,0,0,0,73,0
4998825,dev,STATE,0,0,0,9,0
5012574,dev,STATE,0,0,0,0,0
5046951,dev,STATE,0,0,0,19,0
5141813,dev,STATE,0,0,0,10,0
7629488,dev,STATE,0,1,1,4,0
7650495,dev,STATE,0,0,0,0,0
7656436,dev,STATE,1,1,1,4,1
7774813,dev,STATE,0,1,1,11,0
7955151,dev,STATE,0,1,1,6,0
1945050,test,FED,0,0,0,12,0
4450553,test,FED,0,0,0,32,0
7325818,test,FED,0,0,0,24,0
7331908,test,FED,0,0,0,49,0
8443637,test,FED,0,0,0,33,0
9595984,test,FED,1,0,0,26,1
9599044,test,FED,0,0,0,19,0
9607433,test,FED,0,0,0,25,0
9607926,test,FED,0,0,0,6,0
9612163,test,FED,0,0,0,24,0
9622223,test,FED,1,0,0,67,1
1722,test,SCOTUS,1,1,1,49,2
93904,test,SCOTUS,1,1,1,8,3
99467,test,SCOTUS,1,1,1,7,1
100915,test,SCOTUS,1,1,1,2,1
102259,test,SCOTUS,1,1,1,13,1
103402,test,SCOTUS,1,1,1,11,1
103476,test,SCOTUS,1,0,0,22,3
103543,test,SCOTUS,1,1,1,22,5
103545,test,SCOTUS,1,1,1,14,1
105845,test,SCOTUS,0,1,1,2,0
110212,test,SCOTUS,1,0,0,19,2
110380,test,SCOTUS,1,1,1,80,1
110410,test,SCOTUS,1,1,1,11,1
110420,test,SCOTUS,0,1,1,22,0
111819,test,SCOTUS,1,0,0,13,1
117921,test,SCOTUS,1,0,0,51,6
117989,test,SCOTUS,1,0,0,38,1
118392,test,SCOTUS,1,1,1,11,2
118420,test,SCOTUS,1,1,1,18,1
121162,test,SCOTUS,1,1,1,28,4
145660,test,SCOTUS,1,1,1,33,2
1087812,test,SCOTUS,1,0,0,39,4
4630088,test,SCOTUS,1,0,0,91,5
4729774,test,SCOTUS,0,1,1,13,0
1198927,test,STATE,0,0,0,0,0
1749602,test,STATE,0,0,0,20,0
2679945,test,STATE,0,0,0,0,0
5008972,test,STATE,0,0,0,5,0
5015317,test,STATE,0,0,0,4,0
6289956,test,STATE,0,0,0,15,0
6290331,test,STATE,0,0,0,10,0
6311463,test,STATE,0,0,0,0,0
7641669,test,STATE,0,0,0,14,0
7803869,test,STATE,0,0,0,7,0
8228895,test,STATE,0,0,0,14,0
8666174,test,STATE,1,1,1,3,1
10342696,test,STATE,0,0,0,7,0
10345366,test,STATE,1,0,0,20,3
10612441,test,STATE,0,0,0,62,0
420694,unused,FED,0,0,0,17,0
429180,unused,FED,0,0,0,50,0
430620,unused,FED,0,0,0,9,0
436234,unused,FED,0,0,0,19,0
538389,unused,FED,0,0,0,13,0
563802,unused,FED,1,0,0,9,1
1477013,unused,FED,0,0,0,46,0
2650623,unused,FED,1,0,0,23,1
7329667,unused,FED,1,0,0,48,2
7332819,unused,FED,0,0,0,18,0
7334436,unused,FED,0,0,0,44,0
9536169,unused,FED,0,0,0,20,0
9553822,unused,FED,0,0,0,32,0
9557725,unused,FED,0,0,0,42,0
9576414,unused,FED,0,0,0,29,0
9592813,unused,FED,0,0,0,7,0
9594606,unused,FED,0,0,0,11,0
9597498,unused,FED,0,0,0,17,0
9599479,unused,FED,0,0,0,25,0
9599778,unused,FED,0,0,0,23,0
9600255,unused,FED,1,0,0,22,1
9600728,unused,FED,0,0,0,23,0
9601047,unused,FED,0,0,0,42,0
9603483,unused,FED,0,0,0,26,0
9603504,unused,FED,1,0,0,18,1
9603750,unused,FED,0,0,0,19,0
9606306,unused,FED,0,0,0,12,0
9606916,unused,FED,0,0,0,25,0
9607311,unused,FED,1,0,0,26,1
9608784,unused,FED,1,0,0,11,1
9608807,unused,FED,0,0,0,26,0
9610025,unused,FED,0,0,0,30,0
9611507,unused,FED,0,0,0,22,0
9611591,unused,FED,0,0,0,18,0
9611941,unused,FED,0,0,0,15,0
9612104,unused,FED,0,0,0,27,0
9618893,unused,FED,0,0,0,21,0
9620463,unused,FED,0,0,0,22,0
9621004,unused,FED,0,0,0,49,0
9621532,unused,FED,0,0,0,31,0
9622395,unused,FED,0,0,0,51,0
9660089,unused,FED,0,0,0,29,0
9674372,unused,FED,1,0,0,55,1
9676686,unused,FED,0,0,0,43,0
9717017,unused,FED,0,0,0,33,0
9732791,unused,FED,0,0,0,12,0
9734213,unused,FED,0,0,0,21,0
9925195,unused,FED,1,0,0,120,3
9928332,unused,FED,0,0,0,8,0
10166886,unused,FED,0,0,0,25,0
10174002,unused,FED,0,0,0,12,0
10185155,unused,FED,0,0,0,50,0
10192803,unused,FED,0,0,0,52,0
10243431,unused,FED,1,0,0,18,1
10245452,unused,FED,0,0,0,44,0
10329792,unused,FED,0,0,0,30,0
10333342,unused,FED,0,0,0,16,0
10365867,unused,FED,0,0,0,45,0
10368854,unused,FED,0,0,0,14,0
10368856,unused,FED,0,0,0,32,0
10415317,unused,FED,0,0,0,11,0
10599655,unused,FED,0,0,0,1,0
10599667,unused,FED,0,0,0,14,0
94610,unused,SCOTUS,1,0,0,16,2
96357,unused,SCOTUS,1,0,0,40,1
96885,unused,SCOTUS,1,0,0,65,1
97004,unused,SCOTUS,1,0,0,11,1
97378,unused,SCOTUS,1,0,0,50,11
97396,unused,SCOTUS,0,0,0,16,0
97975,unused,SCOTUS,0,0,0,23,0
98518,unused,SCOTUS,0,0,0,11,0
99541,unused,SCOTUS,1,0,0,36,1
99807,unused,SCOTUS,1,0,0,13,1
100397,unused,SCOTUS,0,0,0,25,0
100409,unused,SCOTUS,1,0,0,22,1
100771,unused,SCOTUS,1,0,0,36,2
100887,unused,SCOTUS,1,0,0,14,1
101492,unused,SCOTUS,1,0,0,46,1
101559,unused,SCOTUS,1,0,0,25,1
101642,unused,SCOTUS,0,0,0,26,0
101648,unused,SCOTUS,1,0,0,50,2
101684,unused,SCOTUS,0,0,0,12,0
101762,unused,SCOTUS,1,0,0,40,5
101894,unused,SCOTUS,1,0,0,148,4
102091,unused,SCOTUS,1,0,0,59,1
102167,unused,SCOTUS,1,0,0,147,18
102174,unused,SCOTUS,0,0,0,13,0
102219,unused,SCOTUS,1,0,0,22,4
102233,unused,SCOTUS,1,0,0,53,1
103172,unused,SCOTUS,1,0,0,45,4
103197,unused,SCOTUS,1,0,0,38,1
103260,unused,SCOTUS,1,0,0,37,1
103299,unused,SCOTUS,1,0,0,47,4
103307,unused,SCOTUS,1,0,0,76,14
103324,unused,SCOTUS,1,0,0,14,1
103325,unused,SCOTUS,1,0,0,17,1
103328,unused,SCOTUS,1,0,0,13,4
103346,unused,SCOTUS,1,0,0,17,1
103364,unused,SCOTUS,1,0,0,13,1
103395,unused,SCOTUS,1,0,0,17,1
103426,unused,SCOTUS,1,0,0,26,1
103438,unused,SCOTUS,1,0,0,45,7
103446,unused,SCOTUS,1,0,0,13,1
103447,unused,SCOTUS,1,0,0,32,4
103496,unused,SCOTUS,1,0,0,12,2
103542,unused,SCOTUS,1,0,0,12,3
103548,unused,SCOTUS,1,0,0,13,1
103549,unused,SCOTUS,1,0,0,62,6
103553,unused,SCOTUS,1,0,0,14,1
103609,unused,SCOTUS,1,0,0,89,2
103615,unused,SCOTUS,1,0,0,50,1
103624,unused,SCOTUS,1,0,0,62,2
103633,unused,SCOTUS,1,0,0,47,1
103658,unused,SCOTUS,1,0,0,29,3
103720,unused,SCOTUS,1,0,0,43,3
103721,unused,SCOTUS,1,0,0,23,3
103732,unused,SCOTUS,1,0,0,56,1
103772,unused,SCOTUS,1,0,0,28,1
103786,unused,SCOTUS,1,0,0,35,1
103794,unused,SCOTUS,1,0,0,26,3
104171,unused,SCOTUS,1,0,0,112,8
104347,unused,SCOTUS,1,0,0,11,1
106447,unused,SCOTUS,1,0,0,159,1
106548,unused,SCOTUS,1,0,0,189,2
106628,unused,SCOTUS,1,0,0,83,9
106658,unused,SCOTUS,1,0,0,110,3
106721,unused,SCOTUS,1,0,0,45,7
106729,unused,SCOTUS,1,0,0,63,1
106761,unused,SCOTUS,1,0,0,68,2
106995,unused,SCOTUS,1,0,0,17,3
109505,unused,SCOTUS,1,0,0,87,4
110075,unused,SCOTUS,1,0,0,127,15
110077,unused,SCOTUS,1,0,0,156,31
110122,unused,SCOTUS,1,0,0,16,1
110144,unused,SCOTUS,1,0,0,13,3
110168,unused,SCOTUS,1,0,0,26,3
110223,unused,SCOTUS,1,0,0,55,2
110226,unused,SCOTUS,1,0,0,29,3
110245,unused,SCOTUS,1,0,0,56,2
110260,unused,SCOTUS,1,0,0,48,3
110308,unused,SCOTUS,1,0,0,45,3
110352,unused,SCOTUS,1,0,0,18,1
110435,unused,SCOTUS,0,0,0,44,0
110440,unused,SCOTUS,1,0,0,20,1
110461,unused,SCOTUS,1,0,0,38,1
110462,unused,SCOTUS,1,0,0,28,1
110468,unused,SCOTUS,0,0,0,60,0
110478,unused,SCOTUS,1,0,0,69,1
110484,unused,SCOTUS,0,0,0,2,0
110518,unused,SCOTUS,0,0,0,56,0
111094,unused,SCOTUS,1,0,0,145,12
111104,unused,SCOTUS,1,0,0,92,3
111215,unused,SCOTUS,1,0,0,37,2
