citing_opinion_id,court,docket_id,cluster_id,opinion_types,opinion_sources,citing_name_short,citing_name,citing_name_full
91306,scotus,2297559,91306,['010combined'],['html_with_citations'],Morgan,Morgan v. United States,MORGAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION; VON HOFFMAN & Another v. UNITED STATES; UNITED STATES v. MANHATTAN SAVINGS INSTITUTION
92059,scotus,96842,92059,"['040dissent', '010combined', '020lead', '030concurrence']",['html_with_citations'],In Re Ayers,In Re Ayers,In RE AYERS; IN RE SCOTT; IN RE McCABE
92291,scotus,2449371,92291,['010combined'],['html_with_citations'],Leloup,Leloup v. Port of Mobile,Leloup v. Port of Mobile
93311,scotus,2397685,93311,['010combined'],['html_with_citations'],Brenham,Brenham v. German American Bank,Brenham v. German American Bank
93904,scotus,229746,93904,['010combined'],['html_with_citations'],Roberts,Roberts v. Lewis,Roberts v. Lewis
98124,scotus,428794,98124,['010combined'],['html_with_citations'],,Garland v. Washington,Garland v. State of Washington
98917,scotus,2556141,98917,"['040dissent', '010combined', '020lead']",['html_with_citations'],,Motion Picture Patents Co. v. Universal Film Manufacturing Co.,Motion Picture Patents Company v. Universal Film Manufacturing Company Et Al.
99004,scotus,1068425,99004,['010combined'],['html_with_citations'],Towers,Pennsylvania Railroad v. Towers,"Pennsylvania Railroad Company, Lessee of the Northern Central Railway Company, v. Towers Et Al., Constituting the Public Service Commission of Maryland"
99901,scotus,80418,99901,['010combined'],['html_with_citations'],Terral,Terral v. Burke Construction Co.,"Terral, as Secretary of State of the State of Arkansas, v. Burke Construction Company"
101368,scotus,621994,101368,['010combined'],['html_with_citations'],Gleason,Gleason v. Seaboard Air Line Railway Co.,Gleason v. Seaboard Air Line Railway Company
101750,scotus,406609,101750,['010combined'],['html_with_citations'],,East Ohio Gas Co. v. Tax Comm'n of Ohio,EAST OHIO GAS CO. v. TAX COMMISSION OF OHIO Et Al.
101913,scotus,406726,101913,['010combined'],['html_with_citations'],Doyal,Fox Film Corp. v. Doyal,FOX FILM CORP. v. DOYAL Et Al.
102164,scotus,845304,102164,['010combined'],['html_with_citations'],Funk,Funk v. United States,Funk v. United States
102784,scotus,81694,102784,['010combined'],['html_with_citations'],West Coast Hotel,West Coast Hotel Co. v. Parrish,WEST COAST HOTEL CO. v. PARRISH Et Al.
103012,scotus,119296,103012,"['030concurrence', '010combined', '020lead']",['html_with_citations'],Erie R. Co.,Erie Railroad v. Tompkins,Erie Railroad Co. v. Tompkins
103172,scotus,1740034,103172,"['040dissent', '010combined', '020lead', '030concurrence']",['html_with_citations'],Graves,Graves v. New York Ex Rel. O'Keefe,"GRAVES Et Al., COMMISSIONERS CONSTITUTING THE STATE TAX COMMISSION OF NEW YORK, v. NEW YORK Ex Rel. O’KEEFE"
103214,scotus,1507922,103214,"['040dissent', '010combined', '020lead']",['html_with_citations'],O'MALLEY,O'MALLEY v. Woodrough,"O’MALLEY, COLLECTOR OF INTERNAL REVENUE, v. WOODROUGH Et Ux."
103198,scotus,2503656,103198,['010combined'],['html_with_citations'],,Rochester Telephone Corp. v. United States,ROCHESTER TELEPHONE CORP. v. UNITED STATES Et Al.
103292,scotus,2457842,103292,"['040dissent', '010combined', '020lead', '030concurrence']",['html_with_citations'],Helvering,Helvering v. Hallock,"HELVERING, COMMISSIONER OF INTERNAL REVENUE, v. HALLOCK Et Al., TRUSTEES"
103290,scotus,2381796,103290,"['040dissent', '010combined', '020lead', '030concurrence']",['html_with_citations'],Madden,Madden v. Kentucky Ex Rel. Commissioner,"Madden, Executor, v. Kentucky, by Reeves, Commissioner of Revenue"
103351,scotus,107747,103351,['010combined'],['html_with_citations'],Tigner,Tigner v. Texas,Tigner v. Texas
103557,scotus,263902,103557,"['030concurrence', '010combined', '020lead']",['html_with_citations'],Edwards,Edwards v. California,Edwards v. California
103505,scotus,25924,103505,"['040dissent', '010combined', '020lead']",['html_with_citations'],Nye,Nye v. United States,NYE Et Al. v. UNITED STATES Et Al.
103522,scotus,122651,103522,['010combined'],['html_with_citations'],Olsen,"Olsen v. Nebraska Ex Rel. Western Reference & Bond Assn., Inc.","OLSEN, SECRETARY OF LABOR OF NEBRASKA, v. NEBRASKA Ex Rel. WESTERN REFERENCE & BOND ASSOCIATION, INC., Et Al."
103555,scotus,339919,103555,"['040dissent', '010combined', '020lead']",['html_with_citations'],,Toucey v. New York Life Insurance,Toucey v. New York Life Insurance Co.
103493,scotus,275019,103493,['010combined'],['html_with_citations'],,"United States v. Chicago, Milwaukee, St. Paul & Pacific Railroad","UNITED STATES v. CHICAGO, MILWAUKEE, ST. PAUL & PACIFIC RAILROAD CO. Et Al."
103442,scotus,2545547,103442,['010combined'],['html_with_citations'],Darby,United States v. Darby,United States v. Darby
103639,scotus,76615,103639,['010combined'],['html_with_citations'],Graves,Graves v. Schmidlapp,"GRAVES Et Al., CONSTITUTING THE STATE TAX COMMISSION OF NEW YORK, v. SCHMIDLAPP Et Al., EXECUTORS"
103736,scotus,82108,103736,"['040dissent', '010combined', '020lead', '030concurrence']",['html_with_citations'],,Williams v. North Carolina,WILLIAMS Et Al. v. NORTH CAROLINA
103761,scotus,1507628,103761,['010combined'],['html_with_citations'],Brady,Brady v. Roosevelt Steamship Co.,"Brady, Administratrix, v. Roosevelt Steamship Co."
103831,scotus,463562,103831,"['040dissent', '010combined', '020lead']",['html_with_citations'],Murdock,Murdock v. Pennsylvania,Murdock v. Pennsylvania (City of Jeannette)
103869,scotus,263995,103869,"['040dissent', '010combined', '020lead']",['html_with_citations'],,Oklahoma Tax Commission v. United States,Oklahoma Tax Commission v. United States (Three Cases)
103870,scotus,174195,103870,"['040dissent', '010combined', '020lead', '030concurrence']",['html_with_citations'],Barnette,West Virginia State Board of Education v. Barnette,WEST VIRGINIA STATE BOARD OF EDUCATION Et Al. v. BARNETTE Et Al.
103915,scotus,193031,103915,"['040dissent', '010combined', '020lead']",['html_with_citations'],,Federal Power Commission v. Hope Natural Gas Co.,FEDERAL POWER COMMISSION Et Al. v. HOPE NATURAL GAS CO.
103927,scotus,276514,103927,['010combined'],['html_with_citations'],Mahnich,Mahnich v. Southern Steamship Co.,Mahnich v. Southern Steamship Co.
103916,scotus,1209308,103916,"['040dissent', '010combined', '020lead']",['html_with_citations'],,Mercoid Corp. v. Mid-Continent Investment Co.,MERCOID CORPORATION v. MID-CONTINENT INVESTMENT CO. Et Al.
103962,scotus,441589,103962,['010combined'],['html_with_citations'],Allwright,Smith v. Allwright,"SMITH v. ALLWRIGHT, ELECTION JUDGE, Et Al."
104285,scotus,443088,104285,"['040dissent', '010combined', '020lead']",['html_with_citations'],Girouard,Girouard v. United States,Girouard v. United States
104380,scotus,444842,104380,"['040dissent', '010combined', '020lead']",['html_with_citations'],Angel,Angel v. Bullington,Angel v. Bullington
2764117,scotus,2618367,2764117,"['040dissent', '010combined', '020lead']",['html_with_citations'],,Sherrer v. Sherrer,Sherrer v. Sherrer. Coe v. Coe
104704,scotus,408441,104704,['010combined'],['html_with_citations'],McAllister,Cosmopolitan Shipping Co. v. McAllister,COSMOPOLITAN SHIPPING CO. v. McALLISTER
104610,scotus,408409,104610,['010combined'],['html_with_citations'],,Lincoln Federal Labor Union v. Northwestern Iron & Metal Co.,LINCOLN FEDERAL LABOR UNION Et Al. v. NORTHWESTERN IRON & METAL CO. Et Al.
104641,scotus,113273,104641,['010combined'],['html_with_citations'],Oklahoma Tax,Oklahoma Tax Commission v. Texas Co.,Oklahoma Tax Commission v. Texas Company
105014,scotus,408622,105014,"['030concurrence', '010combined', '020lead']",['html_with_citations'],Wilson,"Joseph Burstyn, Inc. v. Wilson","JOSEPH BURSTYN, INC. v. WILSON, COMMISSIONER OF EDUCATION OF NEW YORK, Et Al."
104965,scotus,1163200,104965,"['040dissent', '010combined', '020lead']",['html_with_citations'],Peck,Standard Oil Co. v. Peck,"STANDARD OIL CO. v. PECK, TAX COMMISSIONER, Et Al."
105319,scotus,1554859,105319,"['040dissent', '010combined', '020lead']",['html_with_citations'],Carroll,Carroll v. Lanza,"CARROLL Et Al. v. LANZA, DOING BUSINESS AS LAKE CHARLES ELECTRIC CO."
105525,scotus,253455,105525,"['040dissent', '010combined', '020lead', '030concurrence']",['html_with_citations'],Reid,Reid v. Covert,"Reid, Superintendent, District of Columbia Jail, v. Covert"
105543,scotus,1507220,105543,"['040dissent', '010combined', '020lead']",['html_with_citations'],Vanderbilt,Vanderbilt v. Vanderbilt,VANDERBILT v. VANDERBILT Et Al.
106235,scotus,1556001,106235,"['035concurrenceinpart', '010combined', '020lead']",['html_with_citations'],James,James v. United States,James v. United States
106285,scotus,2043318,106285,"['040dissent', '010combined', '020lead', '030concurrence']",['html_with_citations'],Mapp,Mapp v. Ohio,Mapp v. Ohio
106576,scotus,1507832,106576,['010combined'],['html_with_citations'],Ferguson,Ferguson v. Skrupa,"FERGUSON, ATTORNEY GENERAL OF KANSAS, Et Al. v. SKRUPA, Doing Business as CREDIT ADVISORS"
106883,scotus,2472190,106883,"['040dissent', '010combined', '020lead']",['html_with_citations'],Escobedo,Escobedo v. Illinois,Escobedo v. Illinois
107121,scotus,131808,107121,['010combined'],['html_with_citations'],Harris,Harris v. United States,Harris v. United States
107081,scotus,195151,107081,"['040dissent', '010combined', '020lead']",['html_with_citations'],Brown,United States v. Brown,United States v. Brown
