cited_cluster_id,cited_decision_name
88061,Texas v. White (1869)
88994,Vermilye & Co. v. Adams Express Co. (1875)
87633,Murray v. Lardner (1865)
88240,Texas v. Hardenberg (1869)
88693,Huntington v. Texas (1873)
88924,National Bank of Washington v. Texas (1874)
89668,Cromwell v. County of Sac (1878)
90400,Railroad Co. v. Sprague (1881)
91368,Poindexter v. Greenhow (1885)
91371,Allen v. Baltimore & Ohio Railroad (1885)
88673,Davis v. Gray (1873)
87371,"Commonwealth of Ky. v. DENNISON, GOVERNOR, &C. (1861)"
91583,Hagood v. Southern (1886)
90667,United States v. Lee (1882)
85451,Osborn v. Bank of United States (1824) 
88699,Osborne v. Mobile (1873)
89664,Pensacola Telegraph Co. v. Western Union Telegraph Co. (1878)
90600,Telegraph Co. v. Texas (1882)
91869,Robbins v. Shelby County Taxing District (1887)
91985,Philadelphia & Southern Steamship Co. v. Pennsylvania (1887)
92988,Merrill v. Monticello (1891)
87743,Rogers v. Burlington (1866)
91125,Claiborne County v. Brooks (1884)
87776,Mitchell v. Burlington (1867)
88640,Police Jury v. Britton (1873)
93354,Roberts v. Lewis (1892)
87423,Suydam v. Williamson (1861)
84798,Lambert's Lessee v. Payne (1805)
89382,Brant v. Virginia Coal & Iron Co. (1876)
90983,Howard v. Carusi (1884)
93152,Potter v. Couch (1891)
90455,Giles v. Little (1881)
96356,Rogers v. Peck (1905)
94455,Crain v. United States (1896)
97893,Bauer & Cie v. O'Donnell (1913)
97584,Henry v. A. B. Dick Co. (1912)
96878,Continental Paper Bag Co. v. Eastern Paper Bag Co. (1908)
93828,Dunlap v. Schofield (1894)
94177,Keeler v. Standard Folding Bed Co. (1895)
89595,Keystone Bridge Co. v. Phoenix Iron Co. (1877)
90432,Railroad Co. v. Mellon (1881)
91637,Yale Lock Manufacturing Co. v. Greenleaf (1886)
93161,McClain v. Ortmayer (1891)
94711,United States v. American Bell Telephone Co. (1897)
93908,Ashley v. Ryan (1894)
96107,Ohio Ex Rel. Lloyd v. Dollison (1904)
95670,Bement v. National Harrow Co. (1902)
98575,Bailey v. Baker Ice MacHine Co. (1915)
95042,Lake Shore & Michigan Southern Railway Co. v. Smith (1899)
3485674,Penna. R.R. Co. v. Public Ser. Com. (1915)
93379,Interstate Com. Commiss. v. B. & O. RAILROAD (1892)
98392,"Norfolk and Western Railway Company v. Conley, Attorney General of the State of West Virginia (1913)"
98391,Northern Pacific Railway Co. v. North Dakota Ex Rel. McCue (1915)
95555,Louisville & Nashville Railroad v. Kentucky (1902)
8180960,The Minnesota Rate Cases (1913)
96710,Interstate Consolidated Street Railway Co. v. Massachusetts (1907)
89506,Doyle v. Continental Insurance (1877)
96471,Security Mutual Life Insurance v. Prewitt (1906)
93467,Iowa v. Illinois (1893)
88953,Home Ins. Co. v. Morse (1874)
91911,Barron v. Burnside (1887)
93431,Southern Pacific Co. v. Denton (1892)
93803,Martin's Administrator v. Baltimore & Ohio Railroad (1894)
94850,Barrow Steamship Co. v. Kane (1898)
97283,"Herndon v. Chicago, Rock Island & Pacific Railway Co. (1910)"
98085,Harrison v. St. Louis & San Francisco Railroad (1914)
98747,Donald v. Philadelphia & Reading Coal & Iron Co. (1916)
92485,Friedlander v. Texas & Pacific Railway Co. (1889)
4920593,Roy & Roy v. Northern Pacific Railway Co. (1906)
