id,full_name,jurisdiction,jurisdiction_name,jurisdiction_type,jurisdiction_state,appeals_to_full_name,appeals_to_id,note
scotus,Supreme Court of the United States,F,Federal Appellate,Federal,Federal,,,
cafc,Court of Appeals for the Federal Circuit,F,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca1,Court of Appeals for the First Circuit,F,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca2,Court of Appeals for the Second Circuit,F,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca3,Court of Appeals for the Third Circuit,F,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca4,Court of Appeals for the Fourth Circuit,F,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca5,Court of Appeals for the Fifth Circuit,F,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca6,Court of Appeals for the Sixth Circuit,F,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca7,Court of Appeals for the Seventh Circuit,F,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca8,Court of Appeals for the Eighth Circuit,F,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca9,Court of Appeals for the Ninth Circuit,F,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca10,Court of Appeals for the Tenth Circuit,F,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca11,Court of Appeals for the Eleventh Circuit,F,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
cadc,Court of Appeals for the D.C. Circuit,F,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
bap1,Bankruptcy Appellate Panel of the First Circuit,FBP,Federal Bankruptcy Panel,Federal,Federal,Court of Appeals for the First Circuit,ca1,
bap2,Bankruptcy Appellate Panel of the Second Circuit,FBP,Federal Bankruptcy Panel,Federal,Federal,Court of Appeals for the Second Circuit,ca2,
bap6,Bankruptcy Appellate Panel of the Sixth Circuit,FBP,Federal Bankruptcy Panel,Federal,Federal,Court of Appeals for the Sixth Circuit,ca6,
bap8,United States Bankruptcy Appellate Panel for the Eighth Circuit,FBP,Federal Bankruptcy Panel,Federal,Federal,Court of Appeals for the Eighth Circuit,ca8,
bap9,United States Bankruptcy Appellate Panel for the Ninth Circuit,FBP,Federal Bankruptcy Panel,Federal,Federal,Court of Appeals for the Ninth Circuit,ca9,
bap10,Bankruptcy Appellate Panel of the Tenth Circuit,FBP,Federal Bankruptcy Panel,Federal,Federal,Court of Appeals for the Tenth Circuit,ca10,
almb,"United States Bankruptcy Court, M.D. Alabama",FB,Federal Bankruptcy,Federal,Alabama,"District Court, M.D. Alabama",almd,
alnb,"United States Bankruptcy Court, N.D. Alabama",FB,Federal Bankruptcy,Federal,Alabama,"District Court, N.D. Alabama",alnd,
alsb,"United States Bankruptcy Court, S.D. Alabama",FB,Federal Bankruptcy,Federal,Alabama,"District Court, S.D. Alabama",alsd,
akb,"United States Bankruptcy Court, D. Alaska",FB,Federal Bankruptcy,Federal,Alaska,"District Court, D. Alaska",akd,
akb,"United States Bankruptcy Court, D. Alaska",FB,Federal Bankruptcy,Federal,Alaska,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
arb,"United States Bankruptcy Court, D. Arizona",FB,Federal Bankruptcy,Federal,Arizona,"District Court, D. Arizona",azd,
arb,"United States Bankruptcy Court, D. Arizona",FB,Federal Bankruptcy,Federal,Arizona,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
areb,"United States Bankruptcy Court, E.D. Arkansas",FB,Federal Bankruptcy,Federal,Arkansas,"District Court, E.D. Arkansas",ared,
areb,"United States Bankruptcy Court, E.D. Arkansas",FB,Federal Bankruptcy,Federal,Arkansas,United States Bankruptcy Appellate Panel for the Eighth Circuit,bap8,
arwb,"United States Bankruptcy Court, W.D. Arkansas",FB,Federal Bankruptcy,Federal,Arkansas,"District Court, W.D. Arkansas",arwd,
arwb,"United States Bankruptcy Court, W.D. Arkansas",FB,Federal Bankruptcy,Federal,Arkansas,United States Bankruptcy Appellate Panel for the Eighth Circuit,bap8,
cacb,"United States Bankruptcy Court, C.D. California",FB,Federal Bankruptcy,Federal,California,"District Court, C.D. California",cacd,
cacb,"United States Bankruptcy Court, C.D. California",FB,Federal Bankruptcy,Federal,California,United States Bankruptcy Appellate Panel for the Ninth Circuit,bap9,
