id,parent_court_id,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,notes,jurisdiction_name,jurisdiction_type,jurisdiction_state,parent_court_full_name,parent_court_id,note
scotus,,,,,,,2014-10-31T01:59:15.952Z,TRUE,TRUE,TRUE,1,SCOTUS,Supreme Court,Supreme Court of the United States,http://supremecourt.gov/,1789-09-24,,F,,Federal Appellate,Federal,Federal,,,
cafc,,13,1,"orders,opinions,judgments",,,2023-02-22T15:47:46.790Z,TRUE,TRUE,TRUE,113,Fed. Cir.,Federal Circuit,Court of Appeals for the Federal Circuit,http://www.cafc.uscourts.gov/,1982-04-02,,F,,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca1,,1,0,,,1,2023-02-22T16:08:13.910Z,TRUE,TRUE,TRUE,101,1st Cir.,First Circuit,Court of Appeals for the First Circuit,http://www.ca1.uscourts.gov/,1891-03-03,,F,,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca2,,2,1,"orders, opinions",,2,2023-02-22T15:58:28.729Z,TRUE,TRUE,TRUE,102,2d Cir.,Second Circuit,Court of Appeals for the Second Circuit,http://www.ca2.uscourts.gov/,1891-03-03,,F,,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca3,,3,0,,,3,2023-02-22T16:08:24.971Z,TRUE,TRUE,TRUE,103,3rd Cir.,Third Circuit,Court of Appeals for the Third Circuit,http://www.ca3.uscourts.gov/,1891-03-03,,F,,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca4,,4,1,"orders, opinions, judgments",,4,2023-02-22T15:58:31.502Z,TRUE,TRUE,TRUE,104,4th Cir.,Fourth Circuit,Court of Appeals for the Fourth Circuit,http://www.ca4.uscourts.gov/,1891-03-03,,F,"- From beginning of f2 coverage to 1996-01-01, we have only precedential cases (f2 and f3).
 - From 1996-01-01 to 2007-07-31 we have f3 cases and scraped non-precedential ones. Merging the scraped precedential cases with the f3 corpus was too difficult and provided no new opinions. Unfortunately, it appears that we have a lot of duplicates from f3 and scraping in 1996. This can be seen as a bump in the coverage page.
 - From 2007-08-01 onwards, we have scraped cases.",Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca5,,5,0,,,5,2023-02-22T16:08:36.484Z,TRUE,TRUE,TRUE,105,5th Cir.,Fifth Circuit,Court of Appeals for the Fifth Circuit,http://www.ca5.uscourts.gov/,1891-03-03,,F,,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca6,,6,1,"orders,opinions,judgments",,6,2023-02-22T15:45:44.669Z,TRUE,TRUE,TRUE,106,6th Cir.,Sixth Circuit,Court of Appeals for the Sixth Circuit,http://www.ca6.uscourts.gov/,1891-03-03,,F,,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca7,,7,0,,,7,2023-02-22T16:09:08.102Z,TRUE,TRUE,TRUE,107,7th Cir.,Seventh Circuit,Court of Appeals for the Seventh Circuit,http://www.ca7.uscourts.gov/,1891-03-03,,F,,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca8,,8,0,,,8,2023-02-22T16:09:17.894Z,TRUE,TRUE,TRUE,108,8th Cir.,Eighth Circuit,Court of Appeals for the Eighth Circuit,http://www.ca8.uscourts.gov/,1891-03-03,,F,,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca9,,9,0,,,9,2023-02-22T16:09:25.712Z,TRUE,TRUE,TRUE,109,9th Cir.,Ninth Circuit,Court of Appeals for the Ninth Circuit,http://www.ca9.uscourts.gov/,1891-03-03,,F,,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca10,,10,1,opinions,,10,2023-02-22T15:46:10.792Z,TRUE,TRUE,TRUE,110,10th Cir.,Tenth Circuit,Court of Appeals for the Tenth Circuit,http://www.ca10.uscourts.gov/,1929-02-28,,F,,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ca11,,11,1,opinions,,11,2023-02-22T15:46:38.578Z,TRUE,TRUE,TRUE,111,11th Cir.,Eleventh Circuit,Court of Appeals for the Eleventh Circuit,http://www.ca11.uscourts.gov/,1980-10-14,,F,,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
cadc,,12,1,"orders,opinions,judgments",,0,2023-02-22T15:47:08.587Z,TRUE,TRUE,TRUE,112,D.C. Cir.,D.C. Circuit,Court of Appeals for the D.C. Circuit,http://www.cadc.uscourts.gov/,1893-02-09,,F,,Federal Appellate,Federal,Federal,Supreme Court of the United States,scotus,
ag,,,,,,,2017-01-27T22:35:06.131Z,TRUE,TRUE,FALSE,113.04,Op. Att’y Gen.,Attorneys General,United States Attorneys General,https://www.justice.gov/olc/opinions-main,,,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
afcca,,,,,,,2023-10-02T15:46:25.830Z,TRUE,TRUE,FALSE,113.05,A.F.C.C.A.,Air Force Court of Criminal Appeals,United States Air Force Court of Criminal Appeals,http://afcca.law.af.mil/,,,MA,,Military Appellate,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
usafctmilrev,,,,,,,2023-10-02T15:46:25.835Z,TRUE,FALSE,FALSE,113.06,,U S Air Force Court of Military Review,U S Air Force Court of Military Review,,,,MA,Created as part of import of Case.Law data.,Military Appellate,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
asbca,,,,,,,2014-09-19T01:15:36.995Z,TRUE,TRUE,FALSE,113.1,A.S.B.C.A.,Armed Services Board of Contract Appeals,Armed Services Board of Contract Appeals,http://www.asbca.mil/,,,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
armfor,,,,,,,2023-10-02T15:46:25.841Z,TRUE,TRUE,FALSE,113.2,C.A.A.F.,Court of Appeals for the Armed Forces,Court of Appeals for the Armed Forces,http://www.armfor.uscourts.gov/,1951-05-31,,MA,,Military Appellate,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
cma,,,,,,,2023-10-02T15:46:25.846Z,TRUE,FALSE,FALSE,113.21,,United States Court of Military Appeals,United States Court of Military Appeals,,,,MA,Created as part of import of Case.Law data.,Military Appellate,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
acca,,,,,,,2023-10-02T15:46:25.852Z,TRUE,TRUE,FALSE,113.3,A.C.C.A.,Army Court of Criminal Appeals,Army Court of Criminal Appeals,https://www.jagcnet.army.mil/ACCA,,,MA,,Military Appellate,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
usarmymilrev,,,,,,,2023-10-02T15:46:25.856Z,TRUE,FALSE,FALSE,113.35,,U.S. Army Court of Military Review,U.S. Army Court of Military Review,,,,MA,Created as part of import of Case.Law data.,Military Appellate,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
uscgcoca,,,,,,,2024-01-09T19:19:37.698Z,TRUE,TRUE,FALSE,113.41,,U S Coast Guard Court of Criminal Appeals,U S Coast Guard Court of Criminal Appeals,,,,MA,Created as part of import of Case.Law data.,Military Appellate,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
cgcomilrev,,,,,,,2023-10-02T15:46:25.864Z,TRUE,FALSE,FALSE,113.42,,U S Coast Guard Court of Military Review,U S Coast Guard Court of Military Review,,,,MA,Created as part of import of Case.Law data.,Military Appellate,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
cc,,,,,,,2013-10-18T00:47:36.613Z,TRUE,FALSE,FALSE,113.5,Ct. Cl.,Court of Claims,United States Court of Claims,http://www.fjc.gov/history/home.nsf/page/courts_special_coc.html,1855-02-24,1992-10-29,FS,,Federal Special,,,,,"Military, Special, Committee, International, and Tribal Courts are out of scope"
