,lower_court,count,first_case_num,cl_court_id,cl_court_name
603,United States Court of Appeals for the Ninth Circuit,24127,03-10003,ca9,Court of Appeals for the Ninth Circuit
600,United States Court of Appeals for the Fifth Circuit,20633,01-41164,ca5,Court of Appeals for the Fifth Circuit
598,United States Court of Appeals for the Eleventh Circuit,17573,02-15029,ca11,United States Court of Appeals for the Eleventh Circuit
602,United States Court of Appeals for the Fourth Circuit,15380,03-1569,ca4,Court of Appeals for the Fourth Circuit
606,United States Court of Appeals for the Sixth Circuit,12881,03-2095,ca6,Court of Appeals for the Sixth Circuit
608,United States Court of Appeals for the Third Circuit,9470,02-2497,ca3,Court of Appeals for the Third Circuit
604,United States Court of Appeals for the Second Circuit,9219,02-1110,ca2,Court of Appeals for the Second Circuit
597,United States Court of Appeals for the Eighth Circuit,8893,02-4108,ca8,Court of Appeals for the Eighth Circuit
605,United States Court of Appeals for the Seventh Circuit,8028,02-3595,ca7,Court of Appeals for the Seventh Circuit
607,United States Court of Appeals for the Tenth Circuit,6876,03-1016,ca10,Court of Appeals for the Tenth Circuit
601,United States Court of Appeals for the First Circuit,4139,01-2171,ca1,Court of Appeals for the First Circuit
599,United States Court of Appeals for the Federal Circuit,3113,02-7267,cafc,Court of Appeals for the Federal Circuit
596,United States Court of Appeals for the District of Columbia Circuit,2629,02-1155,cadc,Court of Appeals for the D.C. Circuit
534,Supreme Court of Florida,1968,SC01-1414,fla,Florida Supreme Court
530,Supreme Court of California,1513,S035769,cal,California Supreme Court
329,Court of Criminal Appeals of Texas,1426,44761-02,texcrimapp,Court of Criminal Appeals of Texas
167,"Court of Appeal of California, Second Appellate District",1394,B132070,,
586,Supreme Court of Virginia,1235,030625,va,Supreme Court of Virginia
15,"Appellate Court of Illinois, First District",1210,1-01-2263,,
385,District of Columbia Court of Appeals,1023,99-CF-915,dc,District of Columbia Court of Appeals
192,Court of Appeals of Michigan,825,241075,michctapp,Michigan Court of Appeals
535,Supreme Court of Georgia,700,S04Y0073,ga,Georgia Supreme Court
336,"District Court of Appeal of Florida, First District",615,1D01-4951,fladistctapp1,Florida First District Court of Appeal
325,Court of Criminal Appeals of Oklahoma,602,"MA-2003-927, PC-2003-1082",oklacrimapp,Court of Criminal Appeals of Oklahoma
162,"Court of Appeal of California, First Appellate District",601,A101206,,
338,"District Court of Appeal of Florida, Second District",569,2D01-617,fladistctapp2,Florida Second District Court of Appeal
570,Supreme Court of Ohio,526,2001-0524,ohio,Ohio Supreme Court
552,Supreme Court of Nevada,505,41274,nev,Nevada Supreme Court
337,"District Court of Appeal of Florida, Fourth District",502,4D02-4272,fladistctapp4,Florida Fourth District Court of Appeal
548,Supreme Court of Mississippi,491,2003-M-00605,miss,Mississippi Supreme Court
474,"Superior Court of New Jersey, Appellate Division",475,A-635-01T5,njsuperctappdiv,New Jersey Superior Court Appellate Division
202,Court of Appeals of New York,472,47,ny,New York Court of Appeals
324,Court of Criminal Appeals of Alabama,468,CR-02-0278,alacrimapp,Alabama Court of Criminal Appeals
335,"District Court of Appeal of Florida, Fifth District",420,5D02-521,fladistctapp5,Florida Fifth District Court of Appeal
339,"District Court of Appeal of Florida, Third District",419,3D01-3107,fladistctapp3,Florida Third District Court of Appeal
539,Supreme Court of Illinois,417,93472,ill,Illinois Supreme Court
544,Supreme Court of Louisiana,416,2002-KH-2822,la,Supreme Court of Louisiana
549,Supreme Court of Missouri,407,SC84856,mo,Supreme Court of Missouri
578,Supreme Court of South Carolina,404,25758,sc,Supreme Court of South Carolina
169,"Court of Appeal of California, Third Appellate District",403,C029964,,
179,Court of Appeals of Colorado,401,02CA0342,coloctapp,Colorado Court of Appeals
516,"Superior Court of Pennsylvania, Philadelphia Office",399,487 EDA 2002,,
330,Court of Special Appeals of Maryland,386,"1346, September Term, 2001",mdctspecapp,Court of Special Appeals of Maryland
180,Court of Appeals of Georgia,380,A03A1644,gactapp,Georgia Court of Appeals
12,Appeals Court of Massachusetts,371,02-P-795,massappct,Massachusetts Appeals Court
194,Court of Appeals of Minnesota,357,C6-03-281,minnctapp,Court of Appeals of Minnesota
573,"Supreme Court of Pennsylvania, Eastern District",343,234 Capital Appeal Docket,,
168,"Court of Appeal of California, Sixth Appellate District",338,H023357,,
525,Supreme Court of Alabama,336,1001194,ala,Supreme Court of Alabama
176,"Court of Appeals of Arizona, Division One",335,1 CA-CR-02-0448,,
529,Supreme Court of Arkansas,334,CR 02-1087,ark,Arkansas Supreme Court
568,Supreme Court of North Carolina,331,395A91-7,nc,Supreme Court of North Carolina
527,Supreme Court of Appeals of West Virginia,307,031874,wva,West Virginia Supreme Court
595,United States Court of Appeals for the Armed Forces,300,03-0136/AR,armfor,United States Court of Appeals For The Armed Forces
593,Supreme Judicial Court of Massachusetts,300,SJC-09101,mass,Massachusetts Supreme Judicial Court
295,"Court of Appeals of Washington, Division 1",289,48433-8-I,washctapp,Court of Appeals of Washington
533,Supreme Court of Delaware,285,"500, 2003",del,Delaware Supreme Court
587,Supreme Court of Washington,284,73495-0,wash,Washington Supreme Court
543,Supreme Court of Kentucky,276,2001-SC-0312-DG,ky,Kentucky Supreme Court
528,Supreme Court of Arizona,270,"CR-02-0031-PC, CR-02-0022-PC, CR-02-0038-PC, CR-02-0146-PC",ariz,Arizona Supreme Court
550,Supreme Court of Montana,269,02-739,mont,Montana Supreme Court
17,"Appellate Court of Illinois, Second District",265,2--02--0280,,
203,Court of Appeals of North Carolina,259,COA01-880,ncctapp,Court of Appeals of North Carolina
34,"Appellate Division, Supreme Court of New York, First Judicial Department",259,2336,nyappdiv,The Four Departments of the Appellate Division
13,Appellate Court of Connecticut,245,AC 23432,connappct,Connecticut Court of Appeals
161,"Court of Appeal of California, Fifth Appellate District",245,F039784,,
515,"Superior Court of Pennsylvania, Harrisburg Office",240,1871-1872EDA2002,,
273,Court of Appeals of Oregon,239,"C990596CR, A111593",orctapp,Court of Appeals of Oregon
531,Supreme Court of Colorado,227,03SA169,colo,Colorado Supreme Court
546,Supreme Court of Michigan,227,119357,mich,Michigan Supreme Court
191,Court of Appeals of Maryland,224,"17, September Term, 2002",md,Court of Appeals of Maryland
281,"Court of Appeals of Texas, Fifth District",222,05-01-00904-CR,,
36,"Appellate Division, Supreme Court of New York, Second Judicial Department",218,2002-06621,nyappdiv,The Four Departments of the Appellate Division
164,"Court of Appeal of California, Fourth Appellate District, Division One",215,"D040186, D040866",,
574,"Supreme Court of Pennsylvania, Middle District",214,15 MAP 2002,,
16,"Appellate Court of Illinois, Fourth District",213,4-02-0885,,
166,"Court of Appeal of California, Fourth Appellate District, Division Two",210,E034912,,
588,Supreme Court of Wisconsin,208,03-1380-W,wis,Wisconsin Supreme Court
190,Court of Appeals of Kentucky,204,2000-CA-001067-MR,kyctapp,Court of Appeals of Kentucky
517,"Superior Court of Pennsylvania, Pittsburgh Office",202,1997 WDA 2000,,
532,Supreme Court of Connecticut,201,SC 16711,conn,Connecticut Supreme Court
282,"Court of Appeals of Texas, First District",200,01-01-00062-CR,,
542,Supreme Court of Kansas,199,"89, 704",kan,Supreme Court of Kansas
283,"Court of Appeals of Texas, Fourteenth District",199,14-02-00794-CV,,
540,Supreme Court of Indiana,196,71S03-0205-CV-268,ind,Indiana Supreme Court
547,Supreme Court of Minnesota,196,C7-01-2181,minn,Supreme Court of Minnesota
165,"Court of Appeal of California, Fourth Appellate District, Division Three",194,G030867,,
222,"Court of Appeals of Ohio, Cuyahoga County",186,81051,,
553,Supreme Court of New Hampshire,185,2003-0590,nh,Supreme Court of New Hampshire
551,Supreme Court of Nebraska,183,S-03-681,neb,Nebraska Supreme Court
146,Commonwealth Court of Pennsylvania,178,545 C.D. 2002,pacommwct,Commonwealth Court of Pennsylvania
583,Supreme Court of Texas,176,02-0244,tex,Texas Supreme Court
592,Supreme Judicial Court of Maine,175,And-03-59,me,Supreme Judicial Court of Maine
554,Supreme Court of New Jersey,171,A-16 September Term 2002,nj,Supreme Court of New Jersey
286,"Court of Appeals of Texas, Second District",163,2-01-478-CR,,
189,Court of Appeals of Kansas,161,"86, 774",kanctapp,Court of Appeals of Kansas
35,"Appellate Division, Supreme Court of New York, Fourth Judicial Department",160,KA 02-00263,nyappdiv,The Four Departments of the Appellate Division
171,"Court of Appeal of Louisiana, First Circuit",158,2001 KA 0214,,
18,"Appellate Court of Illinois, Third District",157,3-01-0090,,
290,"Court of Appeals of Texas, Third District",154,03-02-00681-CV,,
177,"Court of Appeals of Arizona, Division Two",151,"2 CA-CR 1996-0168, 2 CA-CR 2000-0402-PR",,
163,"Court of Appeal of California, Fourth Appellate District",149,D039267,,
572,Supreme Court of Oregon,149,S49525,or,Oregon Supreme Court
569,Supreme Court of North Dakota,148,20020267,nd,North Dakota Supreme Court
37,"Appellate Division, Supreme Court of New York, Third Judicial Department",146,91820,nyappdiv,The Four Departments of the Appellate Division
195,Court of Appeals of Mississippi,145,2002-CP-00309-COA,missctapp,Court of Appeals of Mississippi
14,"Appellate Court of Illinois, Fifth District",145,5-01-0370,,
284,"Court of Appeals of Texas, Fourth District",142,04-01-00226-CR,,
172,"Court of Appeal of Louisiana, Fourth Circuit",140,2002-KA-1217,,
538,Supreme Court of Idaho,135,28541,idaho,Idaho Supreme Court
298,"Court of Appeals of Wisconsin, District I",128,03-1218-W,,
296,"Court of Appeals of Washington, Division 2",124,29538-5-II,washctapp,Court of Appeals of Washington
328,"Court of Criminal Appeals of Tennessee, Western Division",119,W2003-00789-CCA-R28-PD,,
327,"Court of Criminal Appeals of Tennessee, Middle Division",108,M2003-00968-CCA-R3-CO,,
575,"Supreme Court of Pennsylvania, Western District",107,345 Capital Appeal Docket,,
293,Court of Appeals of Utah,107,20020739-CA,utahctapp,Court of Appeals of Utah
326,"Court of Criminal Appeals of Tennessee, Eastern Division",105,72987,,
584,Supreme Court of Utah,103,20010673-SC,utah,Utah Supreme Court
227,"Court of Appeals of Ohio, Franklin County",100,02AP-736,,
198,"Court of Appeals of Missouri, Western District",100,WD 61272,,
184,"Court of Appeals of Indiana, First District",96,23A01-0207-JV-267,,
541,Supreme Court of Iowa,95,99-1285,iowa,Supreme Court of Iowa
275,Court of Appeals of South Carolina,94,2003-26-028,scctapp,Court of Appeals of South Carolina
196,"Court of Appeals of Missouri, Eastern District",93,ED82145,,
201,Court of Appeals of New Mexico,93,23725,nmctapp,New Mexico Court of Appeals
589,Supreme Court of Wyoming,91,"02-45, 02-46, 02-47",wyo,Wyoming Supreme Court
287,"Court of Appeals of Texas, Seventh District",89,07-02-0183-CR,,
199,Court of Appeals of Nebraska,88,A-03-001123,nebctapp,Nebraska Court of Appeals
285,"Court of Appeals of Texas, Ninth District",88,09-01-517CR,,
579,Supreme Court of South Dakota,88,22221,sd,Supreme Court of South Dakota
571,Supreme Court of Oklahoma,87,"100, 425",okla,Supreme Court of Oklahoma
297,"Court of Appeals of Washington, Division 3",86,21296-3-III,washctapp,Court of Appeals of Washington
537,Supreme Court of Hawaii,84,24027,haw,Supreme Court of Hawaii
581,"Supreme Court of Tennessee, Middle Division",84,M1998-00105-SC-DDT-DD,,
526,Supreme Court of Alaska,82,"S-10091, S-10101",alaska,Alaska Supreme Court
291,"Court of Appeals of Texas, Thirteenth District",81,13-01-00744-CR,,
299,"Court of Appeals of Wisconsin, District II",80,03-1014-CR,,
188,Court of Appeals of Iowa,79,3-300/02-1353,iowactapp,Court of Appeals of Iowa
289,"Court of Appeals of Texas, Tenth District",76,10-02-039-CR,,
288,"Court of Appeals of Texas, Sixth District",76,06-02-00103-CR,,
280,"Court of Appeals of Texas, Eleventh District",76,11-03-00030-CR,,
302,Court of Civil Appeals of Alabama,76,2010679,alacivapp,Alabama Court of Civil Appeals
301,"Court of Appeals of Wisconsin, District IV",75,01-0790-CR,,
232,"Court of Appeals of Ohio, Hamilton County",75,C-020698,,
576,Supreme Court of Puerto Rico,74,CC-2000-144,prsupreme,Supreme Court of Puerto Rico
173,"Court of Appeal of Louisiana, Second Circuit",74,"37, 244-KA",,
585,Supreme Court of Vermont,73,338-6-02 OsCr,vt,Supreme Court of Vermont
582,"Supreme Court of Tennessee, Western Division",73,W2000-02204-SC-DDT-DD,,
182,Court of Appeals of Indiana,71,18A-PL-645,indctapp,Indiana Court of Appeals
174,"Court of Appeal of Louisiana, Third Circuit",70,03-461,,
577,Supreme Court of Rhode Island,69,94-745-C.A.,ri,Supreme Court of Rhode Island
421,"Superior Court of Georgia, Butts County",68,93-V-217,,
186,"Court of Appeals of Indiana, Second District",67,29A05-0301-CR-3,,
292,"Court of Appeals of Texas, Twelfth District",66,12-01-00374-CR,,
580,"Supreme Court of Tennessee, Eastern Division",65,E2001-00604-SC-R11-CD,,
277,"Court of Appeals of Tennessee, Middle Division",65,M2002-02871-COA-R3-CV,,
