lower_court,count,first_case_num,cl_court_id,cl_court_name,manual,manual_type,auto_type,type
United States Court of Appeals for the Ninth Circuit,24127,03-10003,ca9,Court of Appeals for the Ninth Circuit,0,,Federal Appellate,Federal Appellate
United States Court of Appeals for the Fifth Circuit,20633,01-41164,ca5,Court of Appeals for the Fifth Circuit,0,,Federal Appellate,Federal Appellate
United States Court of Appeals for the Eleventh Circuit,17573,02-15029,ca11,United States Court of Appeals for the Eleventh Circuit,0,,Federal Appellate,Federal Appellate
United States Court of Appeals for the Fourth Circuit,15380,03-1569,ca4,Court of Appeals for the Fourth Circuit,0,,Federal Appellate,Federal Appellate
United States Court of Appeals for the Sixth Circuit,12881,03-2095,ca6,Court of Appeals for the Sixth Circuit,0,,Federal Appellate,Federal Appellate
United States Court of Appeals for the Third Circuit,9470,02-2497,ca3,Court of Appeals for the Third Circuit,0,,Federal Appellate,Federal Appellate
United States Court of Appeals for the Second Circuit,9219,02-1110,ca2,Court of Appeals for the Second Circuit,0,,Federal Appellate,Federal Appellate
United States Court of Appeals for the Eighth Circuit,8893,02-4108,ca8,Court of Appeals for the Eighth Circuit,0,,Federal Appellate,Federal Appellate
United States Court of Appeals for the Seventh Circuit,8028,02-3595,ca7,Court of Appeals for the Seventh Circuit,0,,Federal Appellate,Federal Appellate
United States Court of Appeals for the Tenth Circuit,6876,03-1016,ca10,Court of Appeals for the Tenth Circuit,0,,Federal Appellate,Federal Appellate
United States Court of Appeals for the First Circuit,4139,01-2171,ca1,Court of Appeals for the First Circuit,0,,Federal Appellate,Federal Appellate
United States Court of Appeals for the Federal Circuit,3113,02-7267,cafc,Court of Appeals for the Federal Circuit,0,,Federal Appellate,Federal Appellate
United States Court of Appeals for the District of Columbia Circuit,2629,02-1155,cadc,Court of Appeals for the D.C. Circuit,0,,Federal Appellate,Federal Appellate
Supreme Court of Florida,1968,SC01-1414,fla,Florida Supreme Court,0,,State Supreme,State Supreme
Supreme Court of California,1513,S035769,cal,California Supreme Court,0,,State Supreme,State Supreme
Court of Criminal Appeals of Texas,1426,44761-02,texcrimapp,Court of Criminal Appeals of Texas,0,,State Supreme,State Supreme
"Court of Appeal of California, Second Appellate District",1394,B132070,calctapp,California Court of Appeal,1,,State Appellate,State Appellate
Supreme Court of Virginia,1235,30625,va,Supreme Court of Virginia,0,,State Supreme,State Supreme
"Appellate Court of Illinois, First District",1210,01-01-2263,illappct,Appellate Court of Illinois,1,,State Appellate,State Appellate
District of Columbia Court of Appeals,1023,99-CF-915,dc,District of Columbia Court of Appeals,0,,State Supreme,State Supreme
Court of Appeals of Michigan,825,241075,michctapp,Michigan Court of Appeals,0,,State Appellate,State Appellate
Supreme Court of Georgia,700,S04Y0073,ga,Georgia Supreme Court,0,,State Supreme,State Supreme
"District Court of Appeal of Florida, First District",615,1D01-4951,fladistctapp1,Florida First District Court of Appeal,0,,State Appellate,State Appellate
Court of Criminal Appeals of Oklahoma,602,"MA-2003-927, PC-2003-1082",oklacrimapp,Court of Criminal Appeals of Oklahoma,0,,State Appellate,State Appellate
"Court of Appeal of California, First Appellate District",601,A101206,calctapp,California Court of Appeal,1,,State Appellate,State Appellate
"District Court of Appeal of Florida, Second District",569,2D01-617,fladistctapp2,Florida Second District Court of Appeal,0,,State Appellate,State Appellate
Supreme Court of Ohio,526,2001-0524,ohio,Ohio Supreme Court,0,,State Supreme,State Supreme
Supreme Court of Nevada,505,41274,nev,Nevada Supreme Court,0,,State Supreme,State Supreme
"District Court of Appeal of Florida, Fourth District",502,4D02-4272,fladistctapp4,Florida Fourth District Court of Appeal,0,,State Appellate,State Appellate
Supreme Court of Mississippi,491,2003-M-00605,miss,Mississippi Supreme Court,0,,State Supreme,State Supreme
"Superior Court of New Jersey, Appellate Division",475,A-635-01T5,njsuperctappdiv,New Jersey Superior Court Appellate Division,0,,State Appellate,State Appellate
Court of Appeals of New York,472,47,ny,New York Court of Appeals,0,,State Supreme,State Supreme
Court of Criminal Appeals of Alabama,468,CR-02-0278,alacrimapp,Alabama Court of Criminal Appeals,0,,State Appellate,State Appellate
"District Court of Appeal of Florida, Fifth District",420,5D02-521,fladistctapp5,Florida Fifth District Court of Appeal,0,,State Appellate,State Appellate
"District Court of Appeal of Florida, Third District",419,3D01-3107,fladistctapp3,Florida Third District Court of Appeal,0,,State Appellate,State Appellate
Supreme Court of Illinois,417,93472,ill,Illinois Supreme Court,0,,State Supreme,State Supreme
Supreme Court of Louisiana,416,2002-KH-2822,la,Supreme Court of Louisiana,0,,State Supreme,State Supreme
Supreme Court of Missouri,407,SC84856,mo,Supreme Court of Missouri,0,,State Supreme,State Supreme
Supreme Court of South Carolina,404,25758,sc,Supreme Court of South Carolina,0,,State Supreme,State Supreme
"Court of Appeal of California, Third Appellate District",403,C029964,calctapp,California Court of Appeal,1,,State Appellate,State Appellate
Court of Appeals of Colorado,401,02CA0342,coloctapp,Colorado Court of Appeals,0,,State Appellate,State Appellate
"Superior Court of Pennsylvania, Philadelphia Office",399,487 EDA 2002,pasuperct,Superior Court of Pennsylvania,1,,State Appellate,State Appellate
Court of Special Appeals of Maryland,386,"1346, September Term, 2001",mdctspecapp,Court of Special Appeals of Maryland,0,,State Appellate,State Appellate
Court of Appeals of Georgia,380,A03A1644,gactapp,Georgia Court of Appeals,0,,State Appellate,State Appellate
Appeals Court of Massachusetts,371,02-P-795,massappct,Massachusetts Appeals Court,0,,State Appellate,State Appellate
Court of Appeals of Minnesota,357,C6-03-281,minnctapp,Court of Appeals of Minnesota,0,,State Appellate,State Appellate
"Supreme Court of Pennsylvania, Eastern District",343,234 Capital Appeal Docket,pa,Supreme Court of Pennsylvania,1,,State Supreme,State Supreme
"Court of Appeal of California, Sixth Appellate District",338,H023357,calctapp,California Court of Appeal,1,,State Appellate,State Appellate
Supreme Court of Alabama,336,1001194,ala,Supreme Court of Alabama,0,,State Supreme,State Supreme
"Court of Appeals of Arizona, Division One",335,1 CA-CR-02-0448,arizctapp,Court of Appeals of Arizona,1,,State Appellate,State Appellate
Supreme Court of Arkansas,334,CR 02-1087,ark,Arkansas Supreme Court,0,,State Supreme,State Supreme
Supreme Court of North Carolina,331,395A91-7,nc,Supreme Court of North Carolina,0,,State Supreme,State Supreme
Supreme Court of Appeals of West Virginia,307,31874,wva,West Virginia Supreme Court,0,,State Supreme,State Supreme
United States Court of Appeals for the Armed Forces,300,03-0136/AR,armfor,United States Court of Appeals For The Armed Forces,0,,Military Appellate,Military Appellate
Supreme Judicial Court of Massachusetts,300,SJC-09101,mass,Massachusetts Supreme Judicial Court,0,,State Supreme,State Supreme
"Court of Appeals of Washington, Division 1",289,48433-8-I,washctapp,Court of Appeals of Washington,0,,State Appellate,State Appellate
Supreme Court of Delaware,285,"500, 2003",del,Delaware Supreme Court,0,,State Supreme,State Supreme
Supreme Court of Washington,284,73495-0,wash,Washington Supreme Court,0,,State Supreme,State Supreme
Supreme Court of Kentucky,276,2001-SC-0312-DG,ky,Kentucky Supreme Court,0,,State Supreme,State Supreme
Supreme Court of Arizona,270,"CR-02-0031-PC, CR-02-0022-PC, CR-02-0038-PC, CR-02-0146-PC",ariz,Arizona Supreme Court,0,,State Supreme,State Supreme
Supreme Court of Montana,269,02-739,mont,Montana Supreme Court,0,,State Supreme,State Supreme
"Appellate Court of Illinois, Second District",265,2--02--0280,illappct,Appellate Court of Illinois,1,,State Appellate,State Appellate
Court of Appeals of North Carolina,259,COA01-880,ncctapp,Court of Appeals of North Carolina,0,,State Appellate,State Appellate
"Appellate Division, Supreme Court of New York, First Judicial Department",259,2336,nyappdiv,The Four Departments of the Appellate Division,0,,State Appellate,State Appellate
Appellate Court of Connecticut,245,AC 23432,connappct,Connecticut Court of Appeals,0,,State Appellate,State Appellate
"Court of Appeal of California, Fifth Appellate District",245,F039784,calctapp,California Court of Appeal,1,,State Appellate,State Appellate
"Superior Court of Pennsylvania, Harrisburg Office",240,1871-1872EDA2002,pasuperct,Superior Court of Pennsylvania,1,,State Appellate,State Appellate
Court of Appeals of Oregon,239,"C990596CR, A111593",orctapp,Court of Appeals of Oregon,0,,State Appellate,State Appellate
Supreme Court of Colorado,227,03SA169,colo,Colorado Supreme Court,0,,State Supreme,State Supreme
Supreme Court of Michigan,227,119357,mich,Michigan Supreme Court,0,,State Supreme,State Supreme
Court of Appeals of Maryland,224,"17, September Term, 2002",md,Court of Appeals of Maryland,0,,State Supreme,State Supreme
"Court of Appeals of Texas, Fifth District",222,05-01-00904-CR,texapp,Court of Appeals of Texas,1,,State Appellate,State Appellate
"Appellate Division, Supreme Court of New York, Second Judicial Department",218,2002-06621,nyappdiv,The Four Departments of the Appellate Division,0,,State Appellate,State Appellate
"Court of Appeal of California, Fourth Appellate District, Division One",215,"D040186, D040866",calctapp,California Court of Appeal,1,,State Appellate,State Appellate
"Supreme Court of Pennsylvania, Middle District",214,15 MAP 2002,pa,Supreme Court of Pennsylvania,1,,State Supreme,State Supreme
"Appellate Court of Illinois, Fourth District",213,04-02-0885,illappct,Appellate Court of Illinois,1,,State Appellate,State Appellate
"Court of Appeal of California, Fourth Appellate District, Division Two",210,E034912,calctapp,California Court of Appeal,1,,State Appellate,State Appellate
Supreme Court of Wisconsin,208,03-1380-W,wis,Wisconsin Supreme Court,0,,State Supreme,State Supreme
Court of Appeals of Kentucky,204,2000-CA-001067-MR,kyctapp,Court of Appeals of Kentucky,0,,State Appellate,State Appellate
"Superior Court of Pennsylvania, Pittsburgh Office",202,1997 WDA 2000,pasuperct,Superior Court of Pennsylvania,1,,State Appellate,State Appellate
Supreme Court of Connecticut,201,SC 16711,conn,Connecticut Supreme Court,0,,State Supreme,State Supreme
"Court of Appeals of Texas, First District",200,01-01-00062-CR,texapp,Court of Appeals of Texas,1,,State Appellate,State Appellate
Supreme Court of Kansas,199,"89, 704",kan,Supreme Court of Kansas,0,,State Supreme,State Supreme
"Court of Appeals of Texas, Fourteenth District",199,14-02-00794-CV,texapp,Court of Appeals of Texas,1,,State Appellate,State Appellate
