citing_cluster_id,citing_url,citing_court_name,cited_cluster_id,cited_url,cited_court_name,cited_case_name_short,cited_case_name,cited_citations,expert,expert_label,expert_notes
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,103393,https://www.courtlistener.com/opinion/103393/american-united-mutual-life-insurance-v-city-of-avon-park/,Supreme Court of the United States,,American United Mutual Life Insurance v. City of Avon Park,"['1940 U.S. LEXIS 1105', '85 L. Ed. 91', '61 S. Ct. 157', '311 U.S. 138']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,261898,https://www.courtlistener.com/opinion/261898/l-f-popell-co-inc-debtor-v-delta-airlines-inc-and-j-thomas/,Court of Appeals for the Second Circuit,,"L. F. Popell Co., Inc., Debtor v. Delta Airlines, Inc., and J. Thomas Callahan Advertising Inc.","['1963 U.S. App. LEXIS 4196', '323 F.2d 50']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,267470,https://www.courtlistener.com/opinion/267470/guillermo-gonzalez-hernandez-debtor-v-jacqueline-borgos/,Court of Appeals for the First Circuit,,"Guillermo Gonzalez Hernandez, Debtor v. Jacqueline Borgos","['1965 U.S. App. LEXIS 5913', '343 F.2d 802']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,321669,https://www.courtlistener.com/opinion/321669/tonkawa-refining-company-v-sutton/,Court of Appeals for the Tenth Circuit,,Tonkawa Refining Company v. Sutton,['502 F.2d 1341'],,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,382157,https://www.courtlistener.com/opinion/382157/in-re-stuart-r-and-shiela-m-terry-debtors-a-l-tenney-trustee-v/,Court of Appeals for the Eighth Circuit,,"In Re Stuart R. And Shiela M. Terry, Debtors, A. L. Tenney, Trustee v. Stuart R. And Shiela M. Terry, Debtors","['6 Bankr. Ct. Dec. (CRR) 974', '1980 U.S. App. LEXIS 13851', '2 Collier Bankr. Cas. 2d 1237', '630 F.2d 634']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,402517,https://www.courtlistener.com/opinion/402517/in-re-julian-roosevelt-goeb-and-jane-alma-goeb-debtors-in-re-julian/,Court of Appeals for the Ninth Circuit,,"In Re Julian Roosevelt Goeb and Jane Alma Goeb, Debtors. In Re Julian Roosevelt Goeb and Jane Alma Goeb v. Harry W. Heid, Chapter 13 Trustee","['9 Bankr. Ct. Dec. (CRR) 175', '1982 U.S. App. LEXIS 19598', '73 A.L.R. Fed. 1', '6 Collier Bankr. Cas. 2d 1208', '675 F.2d 1386']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,1463071,https://www.courtlistener.com/opinion/1463071/watters-v-hamilton-gas-co/,"District Court, S.D. West Virginia",Watters,Watters v. Hamilton Gas Co.,"['1935 U.S. Dist. LEXIS 1676', '10 F. Supp. 323']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,1534986,https://www.courtlistener.com/opinion/1534986/in-re-barnes/,"District Court, District of Columbia",In Re Barnes,In Re Barnes,"['1980 Bankr. LEXIS 4730', '6 Bankr. Ct. Dec. (CRR) 1241', '5 B.R. 376']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,1538572,https://www.courtlistener.com/opinion/1538572/in-re-hurd/,"United States Bankruptcy Court, W.D. Michigan",In Re Hurd,In Re Hurd,"['6 Bankr. Ct. Dec. (CRR) 412', '1980 Bankr. LEXIS 5039', '2 Collier Bankr. Cas. 2d 190', '4 B.R. 551']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,1538767,https://www.courtlistener.com/opinion/1538767/in-re-montano/,"District Court, District of Columbia",In Re Montano,In Re Montano,"['6 Bankr. Ct. Dec. (CRR) 487', '1980 Bankr. LEXIS 5056', '2 Collier Bankr. Cas. 2d 431', '4 B.R. 535']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,1538920,https://www.courtlistener.com/opinion/1538920/in-re-kovich/,"United States Bankruptcy Court, W.D. Michigan",In Re Kovich,In Re Kovich,"['6 Bankr. Ct. Dec. (CRR) 482', '1980 Bankr. LEXIS 5023', '2 Collier Bankr. Cas. 2d 203', '4 B.R. 403']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,1550767,https://www.courtlistener.com/opinion/1550767/higgins-v-state-loan-co/,Court of Appeals for the D.C. Circuit,Higgins,Higgins v. State Loan Co.,"['1940 U.S. App. LEXIS 3061', '72 App. D.C. 328', '114 F.2d 25']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,1887361,https://www.courtlistener.com/opinion/1887361/in-re-iacovoni/,"United States Bankruptcy Court, D. Utah",In Re Iacovoni,In Re Iacovoni,['2 B.R. 256'],,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,1902118,https://www.courtlistener.com/opinion/1902118/matter-of-scher/,"United States Bankruptcy Court, S.D. New York",In re Scher,Matter of Scher,"['7 Bankr. Ct. Dec. (CRR) 979', '1981 Bankr. LEXIS 3547', '4 Collier Bankr. Cas. 2d 784', '12 B.R. 258']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,1970505,https://www.courtlistener.com/opinion/1970505/in-re-cloutier/,"United States Bankruptcy Court, D. Colorado",In Re Cloutier,In Re Cloutier,"['6 Bankr. Ct. Dec. (CRR) 196', '1980 Bankr. LEXIS 5266', '1 Collier Bankr. Cas. 2d 909', '3 B.R. 584']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,1970528,https://www.courtlistener.com/opinion/1970528/in-re-vann/,"United States Bankruptcy Court, E.D. Pennsylvania",In Re Vann,In Re Vann,"['6 Bankr. Ct. Dec. (CRR) 11', '1980 Bankr. LEXIS 5489', '1 Collier Bankr. Cas. 2d 548', '3 B.R. 192']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,1970688,https://www.courtlistener.com/opinion/1970688/in-re-gay/,"United States Bankruptcy Court, D. Colorado",In Re Gay,In Re Gay,"['6 Bankr. Ct. Dec. (CRR) 149', '1980 Bankr. LEXIS 5361', '1 Collier Bankr. Cas. 2d 790', '3 B.R. 336']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,1970742,https://www.courtlistener.com/opinion/1970742/in-re-sutherland/,"United States Bankruptcy Court, W.D. Arkansas",In Re Sutherland,In Re Sutherland,"['6 Bankr. Ct. Dec. (CRR) 13', '1980 Bankr. LEXIS 5514', '1 Collier Bankr. Cas. 2d 571', '3 B.R. 420']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,2024632,https://www.courtlistener.com/opinion/2024632/in-re-barnes/,"District Court, District of Columbia",In Re Barnes,In Re Barnes,"['1981 U.S. Dist. LEXIS 14670', '7 Bankr. Ct. Dec. (CRR) 961', '4 Collier Bankr. Cas. 2d 1510', '13 B.R. 997']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,2027413,https://www.courtlistener.com/opinion/2027413/in-re-miller/,"United States Bankruptcy Court, E.D. Pennsylvania",In Re Miller,In Re Miller,"['1981 Bankr. LEXIS 2406', '15 B.R. 977']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,2346544,https://www.courtlistener.com/opinion/2346544/in-re-stanley-karman-inc/,"District Court, S.D. New York","In Re Stanley Karman, Inc.","In Re Stanley Karman, Inc.","['1967 U.S. Dist. LEXIS 7597', '279 F. Supp. 828']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,2373991,https://www.courtlistener.com/opinion/2373991/in-re-village-mens-shops-inc/,"District Court, S.D. Indiana","In Re Village Men's Shops, Inc.","In Re Village Men's Shops, Inc.","['1960 U.S. Dist. LEXIS 3789', '186 F. Supp. 125']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,6938287,https://www.courtlistener.com/opinion/6938287/milwaukee-corrugating-co-v-flagge/,Court of Appeals for the Eighth Circuit,Flagge,Milwaukee Corrugating Co. v. Flagge,"['1927 U.S. App. LEXIS 2291', '19 F.2d 518']",,,
409199,https://www.courtlistener.com/opinion/409199/in-re-barnes/,Court of Appeals for the D.C. Circuit,6966753,https://www.courtlistener.com/opinion/6966753/city-of-new-brunswick-v-zimmerman/,Court of Appeals for the Third Circuit,Zimmerman,City of New Brunswick v. Zimmerman,"['1935 U.S. App. LEXIS 4133', '79 F.2d 428']",,,
