court_name,count,state_name
Alaska Supreme Court,11,Alaska
C.D. California,17019607,California
C.D. Illinois,2713398,Illinois
Colorado Court of Appeals,190,Colorado
Court of International Trade,129191,Other
D. Alaska,644926,Alaska
D. Arizona,9477870,Arizona
D.C. Circuit,223173,DC
D. Colorado,10421077,Colorado
D. Connecticut,3726417,Connecticut
D. Delaware,4988773,Delaware
D. Guam,205478,Guam
D. Hawaii,592525,Hawaii
D. Idaho,961407,Idaho
District of Columbia,3103936,DC
D. Kansas,4428596,Kansas
D. Maine,600463,Maine
D. Maryland,6874596,Maryland
D. Massachusetts,4578433,Massachusetts
D. Minnesota,3716257,Minnesota
D. Montana,730893,Montana
D. Nebraska,2110756,Nebraska
D. Nevada,4495878,Nevada
D. New Hampshire,1175474,New Hampshire
D. New Jersey,9709065,New Jersey
D. New Mexico,1911137,New Mexico
D. North Dakota,334662,North Dakota
D. Oregon,2736549,Oregon
D. Puerto Rico,6359043,Puerto Rico
D. Rhode Island,914817,Rhode Island
D. South Carolina,3744094,South Carolina
D. South Dakota,944204,South Dakota
D. Utah,4700450,Utah
D. Vermont,487728,Vermont
D. Virgin Islands,14144,Virgin Islands
D. Wyoming,664596,Wyoming
E.D. Arkansas,3894473,Arkansas
E.D. California,7625718,California
E.D. Kentucky,2918830,Kentucky
E.D. Louisiana,3464894,Louisiana
E.D. Michigan,10998291,Michigan
E.D. Missouri,5501593,Missouri
E.D. New York,8259694,New York
E.D. North Carolina,1923901,North Carolina
E.D. Oklahoma,341130,Oklahoma
E.D. Pennsylvania,6520720,Pennsylvania
E.D. Tennessee,5508098,Tennessee
E.D. Texas,4691039,Texas
E.D. Virginia,6634400,Virginia
E.D. Washington,1867302,Washington
E.D. Wisconsin,4682810,Wisconsin
Eighth Circuit,57518,Eighth Circuit
Eleventh Circuit,117290,Eleventh Circuit
Federal Circuit,182990,Federal Circuit
Federal Claims,758486,Federal Claims
Fifth Circuit,124016,Fifth Circuit
First Circuit,55700,First Circuit
Fourth Circuit,226608,Fourth Circuit
Idaho Supreme Court,4,Idaho
Judicial Panel on Multidistrict Litigation,232872,Other
M.D. Alabama,3047424,Alabama
M.D. Florida,12827744,Florida
M.D. Georgia,2190603,Georgia
M.D. Louisiana,1041835,Louisiana
M.D. North Carolina,2579337,North Carolina
M.D. Pennsylvania,2473908,Pennsylvania
M.D. Tennessee,4353540,Tennessee
N.D. Alabama,6574668,Alabama
N.D. California,10199111,California
N.D. Florida,1538810,Florida
N.D. Georgia,11646467,Georgia
N.D. Illinois,25873699,Illinois
N.D. Indiana,2444782,Indiana
N.D. Iowa,409450,Iowa
N.D. Mississippi,1645746,Mississippi
N.D. New York,2379206,New York
N.D. Ohio,7277076,Ohio
N.D. Oklahoma,580902,Oklahoma
N.D. Texas,6560161,Texas
N.D. West Virginia,990414,West Virginia
New Mexico Court of Appeals,12,New Mexico
Ninth Circuit,227811,Ninth Circuit
Northern Mariana Islands,37678,Northern Mariana Islands
PACER Training Site,1397,Other
S.D. Alabama,3374117,Alabama
S.D. California,5881559,California
S.D. Florida,13290895,Florida
S.D. Georgia,766392,Georgia
S.D. Illinois,1958286,Illinois
S.D. Indiana,6607032,Indiana
S.D. Iowa,1352609,Iowa
S.D. Mississippi,2929315,Mississippi
S.D. New York,12381613,New York
S.D. Ohio,7153145,Ohio
S.D. Texas,12873277,Texas
S.D. West Virginia,2391715,West Virginia
Second Circuit,243016,Second Circuit
Seventh Circuit,56919,Seventh Circuit
Sixth Circuit,186094,Sixth Circuit
Tenth Circuit,76934,Tenth Circuit
Third Circuit,82792,Third Circuit
Veterans Claims,15,Other
Virgin Islands,137570,Virgin Islands
W.D. Arkansas,1958898,Arkansas
W.D. Kentucky,3293308,Kentucky
W.D. Louisiana,5278819,Louisiana
W.D. Michigan,1321611,Michigan
W.D. Missouri,3082119,Missouri
W.D. New York,1669130,New York
W.D. North Carolina,1453626,North Carolina
W.D. Oklahoma,1778487,Oklahoma
W.D. Pennsylvania,4430101,Pennsylvania
W.D. Tennessee,7178192,Tennessee
W.D. Texas,8208954,Texas
W.D. Virginia,1684215,Virginia
W.D. Washington,5369394,Washington
W.D. Wisconsin,1813124,Wisconsin
