"case_id","case_name","case_status","case_state","court_name","case_type","case_ongoing","case_special_collections","case_causes_of_action","case_issues"
8429,"EEOC v. EADS AEROFRAME SERVICES, LLC","Coding Complete","Louisiana","Western District of Louisiana","Equal Employment","No","EEOC Study — in sample, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Race discrimination, Black, Hispanic, White, Retaliation, Disparate Treatment, Harassment / Hostile Work Environment, Conditions of Employment (including assignment, transfer, hours, working conditions, etc.), Direct Suit on Merits"
9719,"Regan v. Salt Lake County","Coding Complete","Utah","District of Utah","Jail Conditions","No","Strip Search Cases","42 U.S.C. § 1983","Search policies, Strip search policy (facilities), Sex discrimination, Female"
18526,"Kerrigan v. Philadelphia Board of Elections","Coding Complete","Pennsylvania","Eastern District of Pennsylvania","Disability Rights","No",NULL,"Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Section 504 (Rehabilitation Act), 29 U.S.C. § 701, Voting Accessibility law, 52 U.S.C. § 20102 (previously 42 U.S.C. §§ 1973ee et seq.)","Disability (inc. reasonable accommodations), Mobility impairment, Voting: Physical/Effective Access, Election administration, Voting: General & Misc."
6263,"EEOC v. TRANSIT MIX CONCRETE","Coding Complete","Texas","Northern District of Texas","Equal Employment","No","EEOC Study — in sample, IWPR/Wage Project Consent Decree Study, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Race discrimination, Black, Disparate Treatment, Harassment / Hostile Work Environment, Promotion, Direct Suit on Merits"
10082,"Shorter v. DC","Coding Complete","District of Columbia","District of District of Columbia","Policing","No",NULL,"42 U.S.C. § 1983","Hearing impairment, Disability (inc. reasonable accommodations)"
45167,"Ingber v. New York University","Approved","New York","Southern District of New York","Speech and Religious Freedom","No",NULL,"State law, Title VI, Civil Rights Act of 1964, 42 U.S.C. § 2000d et seq., State Anti-Discrimination Law","Failure to discipline, Failure to supervise, National origin discrimination, Religion discrimination, Pattern or Practice, School/University policies"
11897,"Rodriguez v. County of El Paso","Coding Complete","Texas","Western District of Texas","Jail Conditions","No","Deaf or Blind in Jail/Prison, Multi-LexSum (in sample)","Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., Section 504 (Rehabilitation Act), 29 U.S.C. § 701, State law, Declaratory Judgment Act, 28 U.S.C. § 2201","Phone, Language access/needs, Language discrimination, Hearing impairment, TTY/Close Captioning/Videophone/etc., Disability (inc. reasonable accommodations), Disparate Treatment"
5803,"EEOC v. KREISLER DRUG NO.3 INC","Coding Complete","Missouri","Western District of Missouri","Equal Employment","No","EEOC Study — in sample, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Female, Retaliation, Disparate Treatment, Harassment / Hostile Work Environment, Conditions of Employment (including assignment, transfer, hours, working conditions, etc.), Discharge / Constructive Discharge / Layoff, Direct Suit on Merits"
14759,"Arriola v. Commonwealth of Kentucky","Coding Complete","Kentucky","Kentucky state trial court","Prison Conditions","Unknown",NULL,"State law","Rehabilitation, Over/Unlawful Detention (facilities)"
44308,"Equal Employment Opportunity Commission (EEOC) v. WalMart, Inc.","Coding Complete","Arkansas","Western District of Arkansas","Disability Rights","Yes",NULL,"Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq., 42 U.S.C. § 1981","Disability, unspecified, Disability (inc. reasonable accommodations), Disparate Impact, Testing, Discharge / Constructive Discharge / Layoff, Direct Suit on Merits, Reasonable Accommodations, Testing"
6108,"EEOC v. UNITED HEALTHCARE OF FLORIDA INC","Coding Complete","Florida","Southern District of Florida","Equal Employment","No","EEOC Study — in sample, Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e, State Anti-Discrimination Law","Sex discrimination, Male, Retaliation, Disparate Treatment, Harassment / Hostile Work Environment, Discharge / Constructive Discharge / Layoff, Direct Suit on Merits, Private Party intervened in EEOC suit"
230,"Jordan v. Multnomah County","Coding Complete","Oregon","District of Oregon","Jail Conditions","No",NULL,"42 U.S.C. § 1983","Disciplinary segregation, Totality of conditions"
9724,"M.K.B. v. Eggleston","Coding Complete","New York","Southern District of New York","Immigration and/or the Border","No","Multi-LexSum (in sample)","42 U.S.C. § 1983","Food service / nutrition / hydration, Failure to supervise, Food stamps/SNAP, Medicaid, Public benefits (includes, e.g., in-state tuition, govt. jobs), Failure to train, Constitutional rights, Family Separation"
10096,"Sallion v. Suntrust Banks, Inc.","Coding Complete","Georgia","Northern District of Georgia","Fair Housing/Lending/Insurance","No",NULL,"42 U.S.C. § 1981, 42 U.S.C. § 1982, Equal Credit Opportunity Act (ECOA), 15 U.S.C. § 1691","Race discrimination, Black, Female, Lending, Housing Sales/Rental"
43095,"Cheek v. Massachusetts Parole Board","Approved","Massachusetts","Massachusetts state supreme court","Criminal Justice (Other)","Yes",NULL,"State law","Parole grant/revocation"
1032,"Sarnicola v. County of Westchester","Coding Complete","New York","Southern District of New York","Policing","No","Multi-LexSum (in sample)","42 U.S.C. § 1983","Racial profiling"
8557,"EEOC v. CONE SOLVENTS INC","Coding Complete","Tennessee","Middle District of Tennessee","Equal Employment","No","EEOC Study — in sample","Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Female, Disparate Treatment, Harassment / Hostile Work Environment, Direct Suit on Merits, Private Party intervened in EEOC suit"
9071,"EEOC v. CONAGRA, INC. dba MONFORT INC.","Coding Complete","Texas","Northern District of Texas","Equal Employment","No","EEOC Study — in sample","State law, Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Female, Disparate Treatment, Harassment / Hostile Work Environment, Direct Suit on Merits, Private Party intervened in EEOC suit"
9728,"U.S. v. Indiana","Approved","Indiana","Southern District of Indiana","Juvenile Institution","No","Multi-LexSum (in sample)","Civil Rights of Institutionalized Persons Act (CRIPA), 42 U.S.C. § 1997 et seq., Indv. w/ Disab. Educ. Act (IDEA), Educ. of All Handcpd. Children Act , 20 U.S.C. § 1400, Section 504 (Rehabilitation Act), 29 U.S.C. § 701, Violent Crime and Law Enforcement Act, 34 U.S.C. § 12601 (previously 42 U.S.C. § 14141)","Staff (number, training, qualifications, wages), Rehabilitation, Medication, administration of, Mental health care, general, Grievance procedures, Male, Female, Restraints (physical), Special education, Assault/abuse by staff (facilities), Assault/abuse by non-staff (facilities)"
10278,"Escamilla-Montoya v. Landon","Coding Complete","Illinois","Northern District of Illinois","Immigration and/or the Border","No",NULL,"Ex Parte Young (Federal) or Bivens, Immigration and Nationality Act (INA), 8 U.S.C. §§ 1101 et seq.","Undocumented immigrants - rights and duties, Constitutional rights, Deportation - procedure, Deportation - judicial review, Detention - conditions"
8844,"EEOC v. LAWRY'S RESTAURANT","Coding Complete","California","Central District of California","Equal Employment","No","EEOC Study -- population, EEOC Study — in sample","Title VII (including PDA), 42 U.S.C.  § 2000e","Sex discrimination, Male, Disparate Treatment, Hiring, Direct Suit on Merits"
11020,"Grimes v. Conectiv","Approved","Pennsylvania","Eastern District of Pennsylvania","Equal Employment","No","Multi-LexSum (in sample)","Title VII (including PDA), 42 U.S.C.  § 2000e, Title VI, Civil Rights Act of 1964, 42 U.S.C. § 2000d et seq.","Record-keeping, Race discrimination, Black, Retaliation, Disparate Treatment, Pattern or Practice, Harassment / Hostile Work Environment, Conditions of Employment (including assignment, transfer, hours, working conditions, etc.), Private Suit Related / Consolidated with EEOC Suit"
15879,"Postawko v. Missouri Department of Corrections","Approved","Missouri","Western District of Missouri","Prison Conditions","No","Post-WalMart decisions on class certification, Hepatitis C Treatment in Jails and Prisons, Multi-LexSum (in sample)","42 U.S.C. § 1983, Americans with Disabilities Act (ADA), 42 U.S.C. §§ 12111 et seq.","Payment for care, ICF/MR & HCFA standards, Medical care, general, Untreated pain, Disability, unspecified, Conditions of confinement, Disability (inc. reasonable accommodations), Hepatitis, Reasonable Accommodations, Testing"
18556,"J.R. v. Austin Independent School District","Approved","Texas","Western District of Texas","Disability Rights","Yes",NULL,"Indv. w/ Disab. Educ. Act (IDEA), Educ. of All Handcpd. Children Act , 20 U.S.C. § 1400, Section 504 (Rehabilitation Act), 29 U.S.C. § 701","Disability, unspecified, P&A Associational Standing"
