citing_cluster_id,citing_decision_name
91306,"Morgan v. United States,113 U.S. 476  (1885)"
92059,"In re Ayers,123 U.S. 443  (1887)"
92291,"Leloup v. Port of Mobile,127 U.S. 640  (1888)"
93311,"Brenham v. German American Bank,144 U.S. 173  (1892)"
93904,"Roberts v. Lewis,153 U.S. 367  (1894)"
98124,"Garland v. Washington,232 U.S. 642  (1914)"
98917,"Motion Picture Patents Co. v. Universal Film Manufacturing Co.,243 U.S. 502  (1917)"
99004,"Pennsylvania Railroad v. Towers,245 U.S. 6  (1917)"
99901,"Terral v. Burke Construction Co.,257 U.S. 529  (1922)"
101368,"Gleason v. Seaboard Air Line Railway,278 U.S. 349  (1929)"
101750,"East Ohio Gas Co. v. Tax Commission of Ohio,283 U.S. 465  (1931)"
101913,"Fox Film Corp. v. Doyal,286 U.S. 123  (1932)"
102164,"Funk v. United States,290 U.S. 371  (1933)"
102784,"West Coast Hotel Co. v. Parrish,300 U.S. 379  (1937)"
103012,"Erie Railroad v. Tompkins,304 U.S. 64  (1938)"
103172,"Graves v. New York ex rel. O’Keefe,306 U.S. 466  (1939)"
103214,"O’Malley v. Woodrough,307 U.S. 277  (1939)"
103198,"Rochester Telephone Corp. v. United States,307 U.S. 125  (1939)"
103292,"Helvering v. Hallock,309 U.S. 106  (1940)"
103290,"Madden v. Kentucky,309 U.S. 83  (1940)"
103351,"Tigner v. Texas,310 U.S. 141  (1940)"
103557,"Edwards v. California,314 U.S. 160  (1941)"
103505,"Nye v. United States,313 U.S. 33  (1941)"
103522,"Olsen v. Nebraska ex rel. Western Reference & Bond Ass’n,313 U.S. 236  (1941)"
103555,"Toucey v. New York Life Insurance Co.,314 U.S. 118  (1941)"
103493,"United States v. Chicago, Milwaukee, St. Paul & Pacific Railroad,312 U.S. 592  (1941)"
103442,"United States v. Darby,312 U.S. 100  (1941)"
103639,"Graves v. Schmidlapp,315 U.S. 657  (1942)"
103736,"Williams v. North Carolina,317 U.S. 287  (1942)"
103761,"Brady v. Roosevelt Steamship, Co.,317 U.S. 575  (1943)"
103831,"Murdock v. Pennsylvania,319 U.S. 105 (1943)"
103869,"Oklahoma Tax Commission v. United States,319 U.S. 598  (1943)"
103870,"West Virginia State Board of Education v. Barnette,319 U.S. 624  (1943)"
103915,"Federal Power Commssion v. Hope Natural Gas Co.,320 U.S. 591  (1944)"
103927,"Mahnich v. Southern Steamship Co.,321 U.S. 96  (1944)"
