cited_cluster_id,citing_cluster_id,citing_court_id
84681,1481214,njd
84681,1441282,njd
84681,2125838,ohsd
84681,1616748,wiwd
84681,1447888,mnd
84681,788743,ca4
84681,1476710,ohnd
84681,1522764,ksd
84681,1539082,pa
84681,1550613,miwb
84681,310797,ca3
84681,1557661,lawd
84681,2500156,nysd
84681,786955,ca9
84681,2462334,ctd
84681,659873,ca7
84681,812014,ca5
84681,238374,ca10
84681,337750,ca5
84681,3399943,fla
84681,1652146,iand
84681,1398093,mtd
84681,778926,ca7
84681,1406814,ohnd
84681,3407712,ga
84681,1533857,ilnb
84681,1733114,mich
84681,1754172,txed
84681,1534441,arb
84681,224656,ca5
84681,1834723,pawb
84681,689916,cafc
84681,1837036,paed
84681,1762588,wvsd
84681,789721,ca7
84681,2166465,njsuperctappdiv
84681,4877180,scotus
84681,678567,ca9
84681,1873108,ded
84681,214949,scotus
84681,1869630,ksd
84681,1545113,gand
84681,1421786,ilnd
84681,1506178,kyctapphigh
84681,10188275,njd
84681,900749,sd
84681,1878196,nceb
84681,1911058,bap6
84681,1395247,gasd
84681,252353,ca5
84681,1515016,nced
84681,1909132,md
84681,699225,ca5
84681,3910402,nc
84681,1455210,vaed
84681,759163,ca7
84681,363148,ca9
84681,266875,ca8
84681,1912199,okeb
84681,2580277,rid
84681,1461048,paed
84681,1912469,nced
84681,259193,ca5
84681,1522649,okwb
84681,2140004,prd
84681,5312806,ca11
84681,6540758,mass
84681,250264,ca5
84681,546336,ca9
84681,727242,ca6
84681,3916042,nc
84681,739972,ca4
84681,1925888,mdctspecapp
84681,2310857,mad
84681,313086,ca4
84681,749878,ca4
84681,1929244,txnb
84681,782236,ca9
84681,756498,ca7
84681,782233,ca9
84681,4070062,okla
84681,2230982,michctapp
84681,408202,ca5
84681,1951572,txsd
84681,1943252,pa
84681,1351492,or
84681,2143289,ded
84681,2310059,innd
84681,2293732,ncmd
84681,2960091,ca2
84681,2141999,njd
84681,2966616,ca4
84681,2144869,gand
84681,2148253,ohsd
84681,10230477,waed
84681,4104577,ri
84681,2158872,ilcd
84681,2609316,nmctapp
84681,4213186,utah
84681,2162684,pa
84681,2335940,ky
84681,2347231,pawd
84681,2570445,kan
84681,2174224,nj
84681,2184566,mich
84681,2349588,moctapp
84681,2504975,wvsd
84681,2488316,ala
84681,2638722,colo
84681,10239612,wawd
84681,2415618,flsd
84681,2367685,mdd
84681,2368303,njd
84681,2377351,ned
84681,2683878,dcd
84681,2592852,njd
84681,2098197,vaed
84681,330009,ca3
84681,2679483,mo
84681,4214272,utah
84681,3592170,nm
84681,14874,ca5
84681,2353674,ri
84681,780858,ca6
84681,334135,ca2
84681,2261352,kywd
84681,17239,ca5
84681,4227618,wva
84681,355300,ca6
84681,4613994,kan
84681,4076608,okla
84681,4082269,or
84681,2475097,wied
84681,356200,ca9
84681,4545662,ca11
84681,4334019,ca3
84681,376673,ca3
84681,359893,ca5
84681,792275,ca6
84681,4326390,va
84681,4850583,ca6
84681,401024,ca3
84681,4895709,scotus
84681,4791216,ohioctapp
84681,781657,ca6
84681,2477997,cacd
84681,496991,ca3
84681,458552,ca3
84681,463194,ca5
84681,511693,ca9
84681,2459658,utd
84681,95391,scotus
84681,7380,ca5
84681,7381,ca5
84681,95822,scotus
84681,110753,scotus
84681,500121,ca9
84681,509009,ca4
84681,96668,scotus
84681,1408640,southcarolinaed
84681,106775,scotus
84681,86065,scotus
84681,92702,scotus
84681,100240,scotus
84681,87371,scotus
84681,91129,scotus
84681,92252,scotus
84681,1399904,tex
84681,108266,scotus
84681,90827,scotus
84681,95314,scotus
84681,99154,scotus
84681,99824,scotus
84681,94602,scotus
84681,92845,scotus
84681,90667,scotus
84681,117880,scotus
84681,117927,scotus
84681,95997,scotus
84681,2527278,txnd
84681,145688,scotus
84681,181828,ca7
84681,2565456,ded
84681,215071,scotus
84681,215077,scotus
84681,156641,ca10
84681,1057714,tenn
84681,1658207,mo
84681,1672476,cacd
84681,1786864,ala
84681,1754090,njd
84681,1824755,deb
84681,1870333,ksd
84681,1853426,mab
84681,1840306,vaeb
84681,1886809,okwb
84681,1840489,fladistctapp
84681,1831102,wyd
84681,1876386,casd
84681,1099906,la
84681,1150605,okla
84681,1138846,miss
84681,1121935,colo
84681,1169094,colo
84681,1250599,mich
84681,1269681,ca3
84681,1400009,tex
84681,1436338,vt
84681,852644,ind
84681,1564854,ca8
84681,4297785,texapp
84681,6624739,ca6
84681,6620345,scotus
84681,6623244,scotus
84681,6623243,scotus
84681,9398335,scotus
84681,9407073,ca5
84681,9416210,ca6
84681,9449720,ca9
84681,6619822,scotus
84681,10049696,scotus
84681,10265875,vactapp
84681,10272457,ca10
84681,10293545,vactapp
84681,7309544,nysd
84681,4395700,ca2
84681,4504815,ca2
84681,6934798,mad
84681,4888826,nyappdiv
