cited_cluster_id,citing_cluster_id,citing_court_id
84681,4877180,scotus
84681,214949,scotus
84681,4895709,scotus
84681,95391,scotus
84681,95822,scotus
84681,110753,scotus
84681,96668,scotus
84681,106775,scotus
84681,86065,scotus
84681,92702,scotus
84681,100240,scotus
84681,87371,scotus
84681,91129,scotus
84681,92252,scotus
84681,108266,scotus
84681,90827,scotus
84681,95314,scotus
84681,99154,scotus
84681,99824,scotus
84681,94602,scotus
84681,92845,scotus
84681,90667,scotus
84681,117880,scotus
84681,117927,scotus
84681,95997,scotus
84681,145688,scotus
84681,215071,scotus
84681,215077,scotus
84681,6620345,scotus
84681,6623244,scotus
84681,6623243,scotus
84681,9398335,scotus
84681,6619822,scotus
84681,10049696,scotus
84681,118011,scotus
84681,118317,scotus
84681,118317,scotus
84681,118317,scotus
84681,103555,scotus
84681,108990,scotus
84681,105525,scotus
84681,108990,scotus
84681,103555,scotus
84681,105525,scotus
84681,118011,scotus
84681,118011,scotus
84681,118011,scotus
84681,7343954,scotus
84681,7343954,scotus
84681,7343955,scotus
84681,215071,scotus
84681,215071,scotus
84681,215077,scotus
84681,145688,scotus
84681,145688,scotus
84681,118511,scotus
84681,118511,scotus
84681,110753,scotus
84681,111094,scotus
84681,111503,scotus
84681,111540,scotus
84681,112419,scotus
84681,112641,scotus
84681,111949,scotus
84681,111949,scotus
84681,118318,scotus
84681,118318,scotus
84681,117880,scotus
84798,93904,scotus
84992,90499,scotus
84992,88610,scotus
84992,91123,scotus
84992,92063,scotus
84992,92277,scotus
84992,85786,scotus
84992,101022,scotus
84992,145875,scotus
84992,145875,scotus
84992,103761,scotus
85272,134743,scotus
85272,4764602,scotus
85272,4764603,scotus
85272,2365229,scotus
85272,4766665,scotus
85272,4766664,scotus
85272,4766668,scotus
85272,931122,scotus
85272,932059,scotus
85272,931124,scotus
85272,931614,scotus
85272,945737,scotus
85272,4892571,scotus
85272,4898460,scotus
85272,4894912,scotus
85272,102861,scotus
85272,111503,scotus
85272,104697,scotus
85272,102858,scotus
85272,111504,scotus
85272,102901,scotus
85272,101975,scotus
85272,106658,scotus
85272,102038,scotus
85272,111541,scotus
85272,105090,scotus
85272,105993,scotus
85272,106508,scotus
85272,105193,scotus
85272,105326,scotus
85272,105172,scotus
85272,105304,scotus
85272,105197,scotus
85272,106307,scotus
