child,parent,jurisdiction
Supreme Court of the United States,,
Court of Appeals for the First Circuit,Supreme Court of the United States,
Court of Appeals for the Second Circuit,Supreme Court of the United States,
Court of Appeals for the Third Circuit,Supreme Court of the United States,
Court of Appeals for the Fourth Circuit,Supreme Court of the United States,
Court of Appeals for the Fifth Circuit,Supreme Court of the United States,
Court of Appeals for the Sixth Circuit,Supreme Court of the United States,
Court of Appeals for the Seventh Circuit,Supreme Court of the United States,
Court of Appeals for the Eighth Circuit,Supreme Court of the United States,
Court of Appeals for the Ninth Circuit,Supreme Court of the United States,
Court of Appeals for the Tenth Circuit,Supreme Court of the United States,
Court of Appeals for the Eleventh Circuit,Supreme Court of the United States,
Court of Appeals for the D.C. Circuit,Supreme Court of the United States,
Court of Appeals for the Federal Circuit,Supreme Court of the United States,
Bankruptcy Appellate Panel of the First Circuit,Court of Appeals for the First Circuit,
Bankruptcy Appellate Panel of the Second Circuit,Court of Appeals for the Second Circuit,
Bankruptcy Appellate Panel of the Sixth Circuit,Court of Appeals for the Sixth Circuit,
United States Bankruptcy Appellate Panel for the Eighth Circuit,Court of Appeals for the Eighth Circuit,
United States Bankruptcy Appellate Panel for the Ninth Circuit,Court of Appeals for the Ninth Circuit,
Bankruptcy Appellate Panel of the Tenth Circuit,Court of Appeals for the Tenth Circuit,
Bankruptcy Appellate Panel of Massachusetts,Court of Appeals for the First Circuit,
"Bankruptcy Appellate Panel, D. Maine",Court of Appeals for the First Circuit,
"District Court, D. Alaska",Court of Appeals for the Ninth Circuit,
"United States Bankruptcy Court, D. Alaska","District Court, D. Alaska",
"District Court, N.D. Alabama",Court of Appeals for the Eleventh Circuit,
"District Court, M.D. Alabama",Court of Appeals for the Eleventh Circuit,
"District Court, S.D. Alabama",Court of Appeals for the Eleventh Circuit,
"United States Bankruptcy Court, N.D. Alabama","District Court, N.D. Alabama",
"United States Bankruptcy Court, M.D. Alabama","District Court, M.D. Alabama",
"United States Bankruptcy Court, S.D. Alabama","District Court, S.D. Alabama",
"District Court, D. Arizona",Court of Appeals for the Ninth Circuit,
"United States Bankruptcy Court, D. Arizona","District Court, D. Arizona",
"District Court, E.D. Arkansas",Court of Appeals for the Eighth Circuit,
"District Court, W.D. Arkansas",Court of Appeals for the Eighth Circuit,
"United States Bankruptcy Court, E.D. Arkansas","District Court, E.D. Arkansas",
"United States Bankruptcy Court, W.D. Arkansas","District Court, W.D. Arkansas",
"District Court, C.D. California",Court of Appeals for the Ninth Circuit,
"District Court, E.D. California",Court of Appeals for the Ninth Circuit,
"District Court, N.D. California",Court of Appeals for the Ninth Circuit,
"District Court, S.D. California",Court of Appeals for the Ninth Circuit,
"United States Bankruptcy Court, C.D. California","District Court, C.D. California",
"United States Bankruptcy Court, E.D. California","District Court, E.D. California",
"United States Bankruptcy Court, N.D. California","District Court, N.D. California",
"United States Bankruptcy Court, S.D. California","District Court, S.D. California",
"District Court, D. Colorado",Court of Appeals for the Tenth Circuit,
"United States Bankruptcy Court, D. Colorado","District Court, D. Colorado",
"District Court, D. Connecticut",Court of Appeals for the Second Circuit,
"United States Bankruptcy Court, D. Connecticut","District Court, D. Connecticut",
"District Court, D. Delaware",Court of Appeals for the Third Circuit,
"United States Bankruptcy Court, D. Delaware","District Court, D. Delaware",
"District Court, District of Columbia",Court of Appeals for the D.C. Circuit,
"United States Bankruptcy Court, District of Columbia","District Court, District of Columbia",
"District Court, N.D. Florida",Court of Appeals for the Eleventh Circuit,
"District Court, M.D. Florida",Court of Appeals for the Eleventh Circuit,
"District Court, S.D. Florida",Court of Appeals for the Eleventh Circuit,
"United States Bankruptcy Court, N.D. Florida","District Court, N.D. Florida",
"United States Bankruptcy Court, M.D. Florida","District Court, M.D. Florida",
"United States Bankruptcy Court, S.D. Florida.","District Court, S.D. Florida",
"District Court, N.D. Georgia",Court of Appeals for the Eleventh Circuit,
"District Court, M.D. Georgia",Court of Appeals for the Eleventh Circuit,
"District Court, S.D. Georgia",Court of Appeals for the Eleventh Circuit,
"United States Bankruptcy Court, N.D. Georgia","District Court, N.D. Georgia",
"United States Bankruptcy Court, M.D. Georgia","District Court, M.D. Georgia",
"United States Bankruptcy Court, S.D. Georgia","District Court, S.D. Georgia",
"District Court, D. Guam",Court of Appeals for the Ninth Circuit,
"United States Bankruptcy Court, D. Guam","District Court, D. Guam",
"District Court, D. Hawaii",Court of Appeals for the Ninth Circuit,
"United States Bankruptcy Court, D. Hawaii","District Court, D. Hawaii",
"District Court, D. Idaho",Court of Appeals for the Ninth Circuit,
"United States Bankruptcy Court, D. Idaho","District Court, D. Idaho",
"District Court, N.D. Illinois",Court of Appeals for the Seventh Circuit,
"District Court, C.D. Illinois",Court of Appeals for the Seventh Circuit,
"District Court, S.D. Illinois",Court of Appeals for the Seventh Circuit,
"United States Bankruptcy Court, N.D. Illinois","District Court, N.D. Illinois",
"United States Bankruptcy Court, C.D. Illinois","District Court, C.D. Illinois",
"United States Bankruptcy Court, S.D. Illinois","District Court, S.D. Illinois",
"District Court, N.D. Indiana",Court of Appeals for the Seventh Circuit,
"District Court, S.D. Indiana",Court of Appeals for the Seventh Circuit,
"United States Bankruptcy Court, N.D. Indiana","District Court, N.D. Indiana",
"United States Bankruptcy Court, S.D. Indiana","District Court, S.D. Indiana",
"District Court, N.D. Iowa",Court of Appeals for the Eighth Circuit,
"District Court, S.D. Iowa",Court of Appeals for the Eighth Circuit,
"United States Bankruptcy Court, N.D. Iowa","District Court, N.D. Iowa",
"United States Bankruptcy Court, S.D. Iowa","District Court, S.D. Iowa",
"District Court, D. Kansas",Court of Appeals for the Tenth Circuit,
"United States Bankruptcy Court, D. Kansas","District Court, D. Kansas",
"District Court, E.D. Kentucky",Court of Appeals for the Sixth Circuit,
"District Court, W.D. Kentucky",Court of Appeals for the Sixth Circuit,
"United States Bankruptcy Court, E.D. Kentucky","District Court, E.D. Kentucky",
"United States Bankruptcy Court, W.D. Kentucky","District Court, W.D. Kentucky",
"District Court, E.D. Louisiana",Court of Appeals for the Fifth Circuit,
"District Court, M.D. Louisiana",Court of Appeals for the Fifth Circuit,
"District Court, W.D. Louisiana",Court of Appeals for the Fifth Circuit,
"United States Bankruptcy Court, E.D. Louisiana","District Court, E.D. Louisiana",
"United States Bankruptcy Court, M.D. Louisiana","District Court, M.D. Louisiana",
"United States Bankruptcy Court, W.D. Louisiana","District Court, W.D. Louisiana",
"District Court, D. Maine",Court of Appeals for the First Circuit,
"United States Bankruptcy Court, D. Maine","District Court, D. Maine",
"District Court, D. Maryland",Court of Appeals for the Fourth Circuit,
"United States Bankruptcy Court, D. Maryland","District Court, D. Maryland",
"District Court, D. Massachusetts",Court of Appeals for the First Circuit,
