docket_number,type,case_name,court_ids,granted,argument_date,decided_date,result,term,metadata_docket_number,metadata_case_name,lower_court_citation,lower_court_docket_number
"134, Orig.",,NEW JERSEY V. DELAWARE,,,11/27/07,3/31/08,New Jersey’s exceptions overruled; Sp. Master’s decree entered with      modifications  (SGB – no part),Oct-07,,,,
06-43,CFX,"STONERIDGE INVESTMENT V. SCIENTIFIC-ATLANTA, INC.",USCA-8,3/26/07,10/9/07,1/15/08,AFFIRMED AND REMANDED (SGB – no part),Oct-07,,,,
06-179,CFX,"RIEGEL V. MEDTRONIC, INC.",USCA-2,6/25/07,12/4/07,2/20/08,AFFIRMED,Oct-07,,,,
06-457,CFX,"ROWE, ATT’Y GEN. OF ME V. NH MOTOR TRANSPORT ASSN.",USCA-1,6/25/07,11/28/07,2/20/08,AFFIRMED,Oct-07,,,,
06-571,CFY,WATSON V. UNITED STATES,USCA-5,2/26/07,10/9/07,12/10/07,REVERSED AND REMANDED,Oct-07,,,,
06-637,CFX,BD. OF EDUCATION OF CITY OF NEW YORK V. TOM F.,USCA-2,2/26/07,10/1/07,10/10/07,AFFIRMED (AMK – no part),Oct-07,,,,
06-666,CSX,DEPT. OF REVENUE OF KY V. DAVIS,CA-KY,5/21/07,11/5/07,5/19/08,REVERSED AND REMANDED,Oct-07,,,,
06-694,CFY,UNITED STATES V. WILLIAMS,USCA-11,3/26/07,10/30/07,5/19/08,REVERSED,Oct-07,,,,
06-766,CFX,NY BD. OF ELECTIONS V. TORRES,USCA-2,2/20/07,10/3/07,1/16/08,REVERSED,Oct-07,,,,
06-856,CFX,"LARUE V. DEWOLFF, BOBERG & ASSOC., INC.",USCA-4,6/18/07,11/26/07,2/20/08,VACATED AND REMANDED,Oct-07,,,,
06-923,CFX,METROPOLITAN LIFE INS. CO. V. GLENN,USCA-6,1/18/08,4/23/08,6/19/08,AFFIRMED,Oct-07,,,,
06-937,CFX,"QUANTA COMPUTER, INC. V. LG ELECTRONICS, INC.",USCA-Fed,9/25/07,1/16/08,6/9/08,REVERSED,Oct-07,,,,
06-939,CFX,"CHAMBER OF COMMERCE V. BROWN, ATT’Y GEN. OF CA",USCA-9,11/20/07,3/19/08,6/19/08,REVERSED AND REMANDED,Oct-07,,,,
06-984,CSH,MEDELLIN V. TEXAS,"Crim. App., TX",4/30/07,10/10/07,3/25/08,AFFIRMED,Oct-07,,,,
06-989,CFX,"HALL STREET ASSOC. V. MATTEL, INC.",USCA-9,5/29/07,11/7/07,3/25/08,VACATED AND REMANDED,Oct-07,,,,
06-1005,CFH,UNITED STATES V. SANTOS,USCA-7,4/23/07,10/3/07,6/2/08,AFFIRMED,Oct-07,,,,
06-1037,CFX,KENTUCKY RETIREMENT SYS. V. EEOC,USCA-6,9/25/07,1/9/08,6/19/08,REVERSED,Oct-07,,,,
06-1082,CSY,VIRGINIA V. MOORE,SC-VA,9/25/07,1/14/08,4/23/08,REVERSED AND REMANDED,Oct-07,,,,
06-1164,CFX,JOHN R. SAND & GRAVEL CO. V. UNITED STATES,USCA-Fed,5/29/07,11/6/07,1/8/08,AFFIRMED,Oct-07,,,,
06-1181,CFX,"DADA V. MUKASEY, ATT’Y GEN.",USCA-5,9/25/07,1/7/08,6/16/08,REVERSED AND REMANDED,Oct-07,,,,
06-1204,CFX,PHILIPPINES V. PIMENTEL,USCA-9,12/3/07,3/17/08,6/12/08,REVERSED AND REMANDED,Oct-07,,,,
06-1221,CFX,SPRINT/UNITED MANAGEMENT CO. V. MENDELSOHN,USCA-10,6/11/07,12/3/07,2/26/08,VACATED AND REMANDED,Oct-07,,,,
06-1286,CFX,KNIGHT V. CIR,USCA-2,6/25/07,11/27/07,1/16/08,AFFIRMED,Oct-07,,,,
