citing_cluster_id,citing_url,cited_cluster_id,cited_url,cited_case_name_short,cited_case_name,cited_citations,expert,expert_label,expert_notes
105846,https://www.courtlistener.com/opinion/105846/mcdaniel-v-the-lisholt/,105837,https://www.courtlistener.com/opinion/105837/kermarec-v-compagnie-generale-transatlantique/,Kermarec,Kermarec v. Compagnie Generale Transatlantique,"['1959 U.S. LEXIS 1769', '358 U.S. 625', '79 S. Ct. 406', '3 L. Ed. 2d 550']",Catherine McCarthy,Cited by,
105846,https://www.courtlistener.com/opinion/105846/mcdaniel-v-the-lisholt/,245707,https://www.courtlistener.com/opinion/245707/james-e-mcdaniel-libelant-appellant-v-the-ms-lisholt-her-engines-etc/,,"James E. McDaniel Libelant-Appellant v. The M/s Lisholt, Her Engines, Etc., and A. S. Lise, Her Owner","['257 F.2d 538', '1958 U.S. App. LEXIS 5333']",Catherine McCarthy,Vacated and remanded by,case on appeal not directly cited
100915,https://www.courtlistener.com/opinion/100915/missouri-pacific-railroad-v-united-states/,96357,https://www.courtlistener.com/opinion/96357/south-carolina-v-united-states/,South Carolina,South Carolina v. United States,"['3 A.F.T.R. (P-H) 2775', '1905 U.S. LEXIS 991', '50 L. Ed. 261', '26 S. Ct. 110', '199 U.S. 437']",Catherine McCarthy,Cited by,
100915,https://www.courtlistener.com/opinion/100915/missouri-pacific-railroad-v-united-states/,8608009,https://www.courtlistener.com/opinion/8608009/missouri-pacific-railroad-v-united-states/,,Missouri Pacific Railroad v. United States,"['1925 WL 2700', '1925 U.S. Ct. Cl. LEXIS 568', '60 Ct. Cl. 183']",Catherine McCarthy,Affirmed by,
105845,https://www.courtlistener.com/opinion/105845/aho-v-jacobsen/,105825,https://www.courtlistener.com/opinion/105825/romero-v-international-terminal-operating-co/,Romero,Romero v. International Terminal Operating Co.,"['1959 U.S. LEXIS 1747', '358 U.S. 354', '79 S. Ct. 468', '3 L. Ed. 2d 368']",Catherine McCarthy,Cited by,
105845,https://www.courtlistener.com/opinion/105845/aho-v-jacobsen/,105837,https://www.courtlistener.com/opinion/105837/kermarec-v-compagnie-generale-transatlantique/,Kermarec,Kermarec v. Compagnie Generale Transatlantique,"['1959 U.S. LEXIS 1769', '358 U.S. 625', '79 S. Ct. 406', '3 L. Ed. 2d 550']",Catherine McCarthy,Cited by,
105845,https://www.courtlistener.com/opinion/105845/aho-v-jacobsen/,243420,https://www.courtlistener.com/opinion/243420/walter-n-aho-v-christina-jacobsen/,,Walter N. Aho v. Christina Jacobsen,['249 F.2d 309'],Catherine McCarthy,Vacated and remanded by,case on appeal not directly cited
2620779,https://www.courtlistener.com/opinion/2620779/united-states-v-powell/,1447641,https://www.courtlistener.com/opinion/1447641/hodges-v-united-states/,Hodges,Hodges v. United States,"['1906 U.S. LEXIS 432', '51 L. Ed. 65', '27 S. Ct. 6', '203 U.S. 1']",Miriam Marks,Cited by,
2147,https://www.courtlistener.com/opinion/2147/holster-v-gatco-inc/,2556,https://www.courtlistener.com/opinion/2556/bonime-v-avaya-inc/,Bonime,"Bonime v. Avaya, Inc.","['2008 WL 4755795', '2008 U.S. App. LEXIS 25840', '46 Communications Reg. (P&F) 387', '547 F.3d 497']",Catherine McCarthy,Abrogated by,cited only in concurrence
2147,https://www.courtlistener.com/opinion/2147/holster-v-gatco-inc/,103012,https://www.courtlistener.com/opinion/103012/erie-railroad-v-tompkins/,Erie R. Co.,Erie Railroad v. Tompkins,"['114 A.L.R. 1487', '11 Ohio Op. 246', '1938 U.S. LEXIS 984', '82 L. Ed. 1188', '58 S. Ct. 817', '304 U.S. 64']",Catherine McCarthy,Cited by,cited only in concurrence
2147,https://www.courtlistener.com/opinion/2147/holster-v-gatco-inc/,2513679,https://www.courtlistener.com/opinion/2513679/leider-v-ralfe/,Leider,Leider v. Ralfe,"['2005 WL 152025', '2005 U.S. Dist. LEXIS 945', '387 F. Supp. 2d 283']",Catherine McCarthy,Cited by,cited only in concurrence
2147,https://www.courtlistener.com/opinion/2147/holster-v-gatco-inc/,2552,https://www.courtlistener.com/opinion/2552/shady-grove-orthopedic-associates-pa-v-allstate-insurance/,,"Shady Grove Orthopedic Associates, P.A. v. Allstate Insurance","['2008 WL 4936848', '2008 U.S. App. LEXIS 24036', '549 F.3d 137']",Catherine McCarthy,Cited by,cited only in concurrence
2147,https://www.courtlistener.com/opinion/2147/holster-v-gatco-inc/,2415900,https://www.courtlistener.com/opinion/2415900/holster-v-gatco-inc/,Holster,"Holster v. Gatco, Inc.","['2007 WL 923086', '2007 U.S. Dist. LEXIS 20953', '30 A.L.R. Fed. 2d 841', '485 F. Supp. 2d 179']",Catherine McCarthy,Cited by,cited only in concurrence
2147,https://www.courtlistener.com/opinion/2147/holster-v-gatco-inc/,173908,https://www.courtlistener.com/opinion/173908/holster-v-gatco-inc/,Holster,"Holster v. Gatco, Inc.","['618 F.3d 214', '51 Communications Reg. (P&F) 244', '2010 WL 3307468', '2010 U.S. App. LEXIS 17661']",Catherine McCarthy,Vacated and remanded by,case on appeal not directly cited
99467,https://www.courtlistener.com/opinion/99467/city-of-los-angeles-v-los-angeles-gas-electric-corp/,98148,https://www.courtlistener.com/opinion/98148/russell-v-sebastian/,Russell,Russell v. Sebastian,"['1914 U.S. LEXIS 1281', '58 L. Ed. 912', '34 S. Ct. 517', '233 U.S. 195']",Catherine McCarthy,Cited by,
99467,https://www.courtlistener.com/opinion/99467/city-of-los-angeles-v-los-angeles-gas-electric-corp/,96357,https://www.courtlistener.com/opinion/96357/south-carolina-v-united-states/,South Carolina,South Carolina v. United States,"['3 A.F.T.R. (P-H) 2775', '1905 U.S. LEXIS 991', '50 L. Ed. 261', '26 S. Ct. 110', '199 U.S. 437']",Catherine McCarthy,Cited by,
99467,https://www.courtlistener.com/opinion/99467/city-of-los-angeles-v-los-angeles-gas-electric-corp/,96264,https://www.courtlistener.com/opinion/96264/new-orleans-gas-light-co-v-drainage-commission-of-new-orleans/,,New Orleans Gas Light Co. v. Drainage Commission of New Orleans,"['1905 U.S. LEXIS 1193', '49 L. Ed. 831', '25 S. Ct. 471', '197 U.S. 453']",Catherine McCarthy,Cited by,
99467,https://www.courtlistener.com/opinion/99467/city-of-los-angeles-v-los-angeles-gas-electric-corp/,97396,https://www.courtlistener.com/opinion/97396/vilas-v-city-of-manila/,Vilas,Vilas v. City of Manila,"['1911 U.S. LEXIS 1683', '55 L. Ed. 491', '31 S. Ct. 416', '220 U.S. 345']",Catherine McCarthy,Cited by,
99467,https://www.courtlistener.com/opinion/99467/city-of-los-angeles-v-los-angeles-gas-electric-corp/,96700,https://www.courtlistener.com/opinion/96700/vicksburg-v-vicksburg-waterworks-co/,Vicksburg,Vicksburg v. Vicksburg Waterworks Co.,"['1907 U.S. LEXIS 1178', '51 L. Ed. 1155', '27 S. Ct. 762', '206 U.S. 496']",Catherine McCarthy,Cited by,
99467,https://www.courtlistener.com/opinion/99467/city-of-los-angeles-v-los-angeles-gas-electric-corp/,,,,Los Angeles Gas & Electric Corp. v. City of Los Angeles,,Catherine McCarthy,Affirmed by,case on appeal not directly cited
102370,https://www.courtlistener.com/opinion/102370/west-ohio-gas-co-v-public-utilities-commission-of-ohio/,8182910,https://www.courtlistener.com/opinion/8182910/state-ex-rel-southwestern-bell-telephone-co-v-public-service-commission/,,State ex rel. Southwestern Bell Telephone Co. v. Public Service Commission of Missouri,"['1923 U.S. LEXIS 2642', '43 S. Ct. 544', '31 A.L.R. 807', '67 L. Ed. 981', '262 U.S. 276']",Catherine McCarthy,Cited by,
102370,https://www.courtlistener.com/opinion/102370/west-ohio-gas-co-v-public-utilities-commission-of-ohio/,4024541,https://www.courtlistener.com/opinion/4024541/west-ohio-gas-co-v-public-utilities-commission/,,West Ohio Gas Co. v. Public Utilities Commission,"['1934 Ohio LEXIS 297', '128 Ohio St. (N.S.) 301', '128 Ohio St. 301', '191 N.E. 105']",Catherine McCarthy,Reversed by,
102370,https://www.courtlistener.com/opinion/102370/west-ohio-gas-co-v-public-utilities-commission-of-ohio/,102091,https://www.courtlistener.com/opinion/102091/los-angeles-gas-electric-corp-v-railroad-commission/,,Los Angeles Gas & Electric Corp. v. Railroad Commission,"['1933 U.S. LEXIS 180', '77 L. Ed. 1180', '53 S. Ct. 637', '289 U.S. 287']",Catherine McCarthy,Cited by,
102370,https://www.courtlistener.com/opinion/102370/west-ohio-gas-co-v-public-utilities-commission-of-ohio/,102259,https://www.courtlistener.com/opinion/102259/lindheimer-v-illinois-bell-telephone-co/,Lindheimer,Lindheimer v. Illinois Bell Telephone Co.,"['1934 U.S. LEXIS 704', '78 L. Ed. 1182', '54 S. Ct. 658', '292 U.S. 151']",Catherine McCarthy,Cited by,
