citing_cluster_id,citing_url,citing_court_name,cited_cluster_id,cited_url,cited_court_name,cited_case_name_short,cited_case_name,cited_citations,expert,expert_label,expert_notes
1992392,https://www.courtlistener.com/opinion/1992392/matter-of-wiggles/,"United States Bankruptcy Court, N.D. Georgia",101988,https://www.courtlistener.com/opinion/101988/shapiro-v-wilgus/,Supreme Court of the United States,Shapiro,Shapiro v. Wilgus,"['85 A.L.R. 128', '1932 U.S. LEXIS 826', '77 L. Ed. 355', '53 S. Ct. 142', '287 U.S. 348']",,,
1992392,https://www.courtlistener.com/opinion/1992392/matter-of-wiggles/,"United States Bankruptcy Court, N.D. Georgia",382157,https://www.courtlistener.com/opinion/382157/in-re-stuart-r-and-shiela-m-terry-debtors-a-l-tenney-trustee-v/,Court of Appeals for the Eighth Circuit,,"In Re Stuart R. And Shiela M. Terry, Debtors, A. L. Tenney, Trustee v. Stuart R. And Shiela M. Terry, Debtors","['6 Bankr. Ct. Dec. (CRR) 974', '1980 U.S. App. LEXIS 13851', '2 Collier Bankr. Cas. 2d 1237', '630 F.2d 634']",,,
1992392,https://www.courtlistener.com/opinion/1992392/matter-of-wiggles/,"United States Bankruptcy Court, N.D. Georgia",1475268,https://www.courtlistener.com/opinion/1475268/tennessee-pub-co-v-american-nat-bank/,Court of Appeals for the Sixth Circuit,In Re Tennessee Pub. Co.,Tennessee Pub. Co. v. American Nat. Bank,"['1936 U.S. App. LEXIS 3466', '81 F.2d 463']",,,
1992392,https://www.courtlistener.com/opinion/1992392/matter-of-wiggles/,"United States Bankruptcy Court, N.D. Georgia",1477117,https://www.courtlistener.com/opinion/1477117/in-re-sterba/,Court of Appeals for the Seventh Circuit,In Re Sterba,In Re Sterba,"['1935 U.S. App. LEXIS 3457', '74 F.2d 413']",,,
1992392,https://www.courtlistener.com/opinion/1992392/matter-of-wiggles/,"United States Bankruptcy Court, N.D. Georgia",1535282,https://www.courtlistener.com/opinion/1535282/thompson-supply-co-v-roy-in-re-roy/,"United States Bankruptcy Court, M.D. Alabama",In Re Roy,Thompson Supply Co. v. Roy (In Re Roy),"['1980 Bankr. LEXIS 4656', '2 Collier Bankr. Cas. 2d 985', '5 B.R. 611']",,,
1992392,https://www.courtlistener.com/opinion/1992392/matter-of-wiggles/,"United States Bankruptcy Court, N.D. Georgia",1537991,https://www.courtlistener.com/opinion/1537991/in-re-burrell/,"District Court, N.D. California",In Re Burrell,In Re Burrell,"['1980 U.S. Dist. LEXIS 16871', '6 Bankr. Ct. Dec. (CRR) 900', '2 Collier Bankr. Cas. 2d 1019', '6 B.R. 360']",,,
1992392,https://www.courtlistener.com/opinion/1992392/matter-of-wiggles/,"United States Bankruptcy Court, N.D. Georgia",1538025,https://www.courtlistener.com/opinion/1538025/in-re-desimone/,"United States Bankruptcy Court, S.D. New York",In Re DeSimone,In Re DeSimone,"['6 Bankr. Ct. Dec. (CRR) 861', '1980 Bankr. LEXIS 4565', '2 Collier Bankr. Cas. 2d 1060', '6 B.R. 89']",,,
1992392,https://www.courtlistener.com/opinion/1992392/matter-of-wiggles/,"United States Bankruptcy Court, N.D. Georgia",1538670,https://www.courtlistener.com/opinion/1538670/in-re-mcminn/,"United States Bankruptcy Court, D. Kansas",In Re McMinn,In Re McMinn,"['6 Bankr. Ct. Dec. (CRR) 297', '1980 Bankr. LEXIS 5221', '1 Collier Bankr. Cas. 2d 1007', '4 B.R. 150']",,,
1992392,https://www.courtlistener.com/opinion/1992392/matter-of-wiggles/,"United States Bankruptcy Court, N.D. Georgia",1538714,https://www.courtlistener.com/opinion/1538714/in-re-seman/,"United States Bankruptcy Court, S.D. New York",In Re Seman,In Re Seman,"['6 Bankr. Ct. Dec. (CRR) 626', '1980 Bankr. LEXIS 5031', '2 Collier Bankr. Cas. 2d 394', '4 B.R. 568']",,,
1992392,https://www.courtlistener.com/opinion/1992392/matter-of-wiggles/,"United States Bankruptcy Court, N.D. Georgia",1538715,https://www.courtlistener.com/opinion/1538715/in-re-raburn/,"United States Bankruptcy Court, M.D. Georgia",In Re Raburn,In Re Raburn,"['6 Bankr. Ct. Dec. (CRR) 453', '1980 Bankr. LEXIS 4982', '4 B.R. 624']",,,
